,0,1
0,None,None
1,None,None
2,if DrugA_gene116 >= 1.2423908 and DrugA_gene615 >= 1.865075 and DrugA_gene774 < -0.5308999 and DrugA_gene792 < -1.1128863 and DrugA_gene931 >= 1.3829743 and DrugB_gene5 < -0.704335 and DrugB_gene13 < 0.48069954 and DrugB_gene477 < -0.4739455 and DrugB_gene615 >= 0.28144738 and DrugB_gene792 >= -0.2904306 and DrugB_gene916 >= 0.9853492 and DrugB_gene931 < -1.2418072 and then value = 12.4911681025,None
3,None,None
4,if DrugA_gene477 < -0.47420418 and DrugA_gene615 < 0.0069401064 and DrugA_gene647 >= 0.71942693 and DrugA_gene792 >= 0.12195047 and DrugA_gene834 >= 0.69868964 and DrugB_gene5 >= 0.18935232 and DrugB_gene204 >= -0.051021934 and DrugB_gene647 < -0.854926 and DrugB_gene774 < -0.37151676 and DrugB_gene792 < 0.63861275 and then value = 3.3817449969999998,None
5,None,None
6,None,None
7,if DrugA_gene116 < -5.1011257 and DrugA_gene615 < -0.41646257 and DrugA_gene916 >= 0.015663095 and DrugA_gene931 >= 1.3829743 and DrugB_gene5 < -0.704335 and DrugB_gene477 < 0.001523818 and DrugB_gene615 >= 1.8413999 and DrugB_gene647 < 0.52143955 and DrugB_gene792 >= 0.37123543 and DrugB_gene834 < -0.27112842 and DrugB_gene916 < -0.5934769 and then value = 2.624992378,None
8,if DrugA_gene477 < 0.04086683 and DrugA_gene916 >= 0.24820754 and DrugB_gene834 < 0.3196518 and DrugB_gene931 >= -0.42924225 and then value = 2.4472096899999998,None
9,None,None
10,if DrugA_gene13 < -0.7081835 and DrugA_gene116 >= 0.35024792 and DrugA_gene204 < -1.9518713 and DrugA_gene477 < -0.5215564 and DrugA_gene647 < -0.9624808 and DrugA_gene792 >= 0.119931236 and DrugA_gene916 >= 1.266711 and DrugA_gene931 >= 1.3829743 and DrugB_gene116 < -5.1011257 and DrugB_gene615 >= 2.872807 and DrugB_gene647 < 0.54634 and DrugB_gene834 < -0.22586712 and DrugB_gene931 >= 0.09333456 and then value = 23.85713031,None
11,None,None
12,None,None
13,if DrugA_gene477 < -2.1874893 and DrugA_gene792 >= 0.5351909 and DrugA_gene931 >= 1.3829743 and DrugB_gene5 < -0.8364172 and DrugB_gene13 < -0.030483443 and DrugB_gene204 < -0.18826003 and DrugB_gene477 < -3.7252352 and DrugB_gene647 >= 0.54634 and DrugB_gene834 < -0.22586712 and then value = 1.050257052,None
14,if DrugA_gene116 >= 1.2423908 and DrugA_gene615 < 0.06464064 and DrugA_gene774 < -0.5308999 and DrugA_gene931 >= 1.3829743 and DrugB_gene5 < -0.704335 and DrugB_gene13 >= -0.105685145 and DrugB_gene116 < -4.965376 and DrugB_gene477 < -0.4739455 and DrugB_gene615 >= 0.28144738 and DrugB_gene647 >= 0.6181361 and DrugB_gene774 < -0.6315205 and DrugB_gene792 < 0.30478418 and DrugB_gene931 < 1.4254471 and then value = 40.5231591725,None
