,0,1
0,None,None
1,None,None
2,if DrugA_gene342 < -2.0639377 and DrugA_gene343 >= 0.122399345 and DrugA_gene345 >= 2.8552191 and DrugA_gene346 >= 1.18783 and DrugB_gene132 < -0.01652933 and DrugB_gene269 >= 0.0016323142 and DrugB_gene279 >= 0.062377922 and DrugB_gene341 >= -0.012979392 and DrugB_gene343 >= -0.16700634 and DrugB_gene345 < -0.6830095 and DrugB_gene346 >= -0.041829366 and DrugB_gene348 >= 0.21018213 and DrugB_gene451 < -0.31682804 and DrugB_gene557 >= 0.12738091 and then value = 10.202773420000002,None
3,None,None
4,None,None
5,None,None
6,None,None
7,if DrugA_gene132 < 0.0018696376 and DrugA_gene195 < -0.32348055 and DrugA_gene342 >= 1.1341976 and DrugA_gene343 < -0.20315936 and DrugA_gene346 < -0.042379897 and DrugA_gene347 >= 0.6532264 and DrugA_gene451 >= 0.4670121 and DrugB_gene269 >= -0.8107841 and DrugB_gene279 >= 0.3303539 and DrugB_gene344 < -0.22979607 and DrugB_gene345 < -0.47336167 and DrugB_gene451 < 0.06569327 and then value = 3.5173841482999997,None
8,if DrugA_gene132 >= 0.6761515 and DrugA_gene195 >= 0.30508935 and DrugA_gene279 < -0.2963903 and DrugA_gene342 >= 0.4584719 and DrugA_gene343 < -0.36093828 and DrugA_gene347 < -1.6768737 and DrugA_gene348 < -3.482225 and DrugB_gene269 >= 0.19650638 and DrugB_gene279 >= -1.6252954 and DrugB_gene344 < 0.2878683 and DrugB_gene346 < -0.10287864 and DrugB_gene348 < -3.482225 and DrugB_gene557 < -0.2500414 and then value = 2.99671953,None
9,if DrugA_gene279 >= 0.64167964 and DrugA_gene341 >= 0.46150297 and DrugA_gene346 < -0.39025047 and DrugA_gene557 < -0.54761636 and then value = 0.022141837,None
10,if DrugA_gene269 < 0.03756076 and DrugA_gene279 >= 0.76743627 and DrugA_gene343 >= 0.17461534 and DrugA_gene344 < -0.22846541 and DrugA_gene345 >= 2.8552191 and DrugA_gene348 < -0.9892595 and DrugA_gene451 >= -0.33136624 and DrugB_gene195 < -0.32986933 and DrugB_gene279 < -0.5444346 and DrugB_gene341 >= -0.1378519 and DrugB_gene342 >= 0.04780549 and DrugB_gene344 >= 0.28566492 and DrugB_gene345 >= -0.007151317 and DrugB_gene346 >= 1.18783 and DrugB_gene348 < -0.06592408 and DrugB_gene451 < 0.5546887 and DrugB_gene557 >= 0.09121677 and then value = 19.547849902,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene345 >= 2.8552191 and DrugA_gene348 < -3.482225 and DrugA_gene557 < 0.38079682 and DrugB_gene132 >= 0.37692773 and DrugB_gene195 >= 0.3518629 and DrugB_gene269 >= 0.0016323142 and DrugB_gene279 < -1.0743203 and DrugB_gene341 >= 0.4302392 and DrugB_gene343 < -0.80595815 and DrugB_gene344 < -0.22814742 and DrugB_gene346 >= 1.434201 and DrugB_gene347 >= -0.3614368 and DrugB_gene348 < -3.482225 and DrugB_gene451 < -0.31682804 and DrugB_gene557 >= 0.105565995 and then value = 12.429798724,None
