,0,1
0,None,None
1,None,None
2,if DrugA_gene3 >= 2.050106 and DrugA_gene6 < -0.2889336 and DrugA_gene23 >= 0.948192 and DrugA_gene246 < -0.66654634 and DrugA_gene254 >= 0.6704979 and DrugA_gene303 >= 2.5578852 and DrugA_gene407 < -0.3284306 and DrugA_gene424 < 0.19292183 and DrugA_gene511 < -0.18221231 and DrugA_gene521 >= -0.35543263 and DrugA_gene577 < 0.30018026 and DrugA_gene635 < -0.5928979 and DrugB_gene13 < -1.3467774 and DrugB_gene23 >= 0.9588917 and DrugB_gene103 >= 0.2424588 and DrugB_gene207 < 0.22161847 and DrugB_gene209 >= 0.1298428 and DrugB_gene444 < -0.41851914 and DrugB_gene577 < 0.2483271 and DrugB_gene686 >= -0.16756514 and DrugB_gene735 >= 0.30170584 and then value = 16.373318600300003,None
3,None,None
4,if DrugA_gene209 < 0.17517576 and DrugA_gene219 < -1.29755 and DrugA_gene246 < -0.41493067 and DrugA_gene301 < -0.040018123 and DrugA_gene354 >= 1.2657652 and DrugA_gene414 < 0.24832317 and DrugA_gene424 >= 0.89975494 and DrugA_gene511 < -0.04770157 and DrugA_gene635 >= 1.5821121 and DrugA_gene686 < -0.33550304 and DrugA_gene735 < -0.15573202 and DrugA_gene840 >= 0.6183113 and DrugB_gene3 >= 0.2836948 and DrugB_gene10 < 0.39460412 and DrugB_gene66 >= 0.3016954 and DrugB_gene209 >= 0.08241679 and DrugB_gene331 >= -0.026153298 and DrugB_gene360 >= 0.63501656 and DrugB_gene414 >= 0.17496005 and DrugB_gene597 >= 0.19796409 and DrugB_gene822 < 0.43884254 and DrugB_gene840 >= -0.07586245 and then value = 1.75936543721,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene5 < -0.6516446 and DrugA_gene6 < -0.2889336 and DrugA_gene10 >= 0.38046023 and DrugA_gene23 >= 0.948192 and DrugA_gene303 >= 2.5578852 and DrugA_gene331 < -0.35949323 and DrugA_gene424 >= 1.8143296 and DrugA_gene521 >= -0.35543263 and DrugA_gene686 < 0.26307684 and DrugB_gene5 < 4.9383554 and DrugB_gene13 < -1.3467774 and DrugB_gene66 < -1.376066 and DrugB_gene219 < 0.36639696 and DrugB_gene329 >= 0.11281429 and DrugB_gene577 < -1.80955 and DrugB_gene735 >= 0.30170584 and DrugB_gene832 < 0.6291165 and DrugB_gene840 < 0.881199 and then value = 6.0916624803,None
9,None,None
