,0,1
0,None,None
1,None,None
2,if DrugA_gene11 < 0.40658867 and DrugA_gene23 < -0.3836401 and DrugA_gene97 < 0.0065278215 and DrugA_gene169 < -0.08864768 and DrugA_gene172 < 0.29913712 and DrugA_gene198 >= 0.3310501 and DrugA_gene211 >= 0.7271941 and DrugA_gene244 >= 1.7984576 and DrugA_gene266 >= 2.7646642 and DrugA_gene354 >= 1.2613983 and DrugA_gene396 >= 1.7046552 and DrugA_gene410 >= -0.1194828 and DrugA_gene415 < 0.59659946 and DrugA_gene695 < -0.48196393 and DrugA_gene891 < 0.28931022 and DrugB_gene11 < -0.24936324 and DrugB_gene23 >= 0.6491421 and DrugB_gene73 < -0.20254758 and DrugB_gene97 >= 0.98450094 and DrugB_gene198 < -4.453924 and DrugB_gene205 < -0.21170059 and DrugB_gene211 < 0.65240407 and DrugB_gene223 >= 0.40498194 and DrugB_gene266 >= 0.41088808 and DrugB_gene293 >= 0.44649857 and DrugB_gene396 >= -0.14118952 and DrugB_gene415 >= -0.09607251 and DrugB_gene418 < -0.39123863 and DrugB_gene465 < -0.20372632 and DrugB_gene490 >= 0.93954635 and DrugB_gene530 < -0.026473759 and DrugB_gene670 >= 0.096086055 and DrugB_gene891 >= 1.1565652 and GO:0045582 >= 76.3232 and GO:0042102 < 8.063697 and then value = 9.62255735963,None
3,None,None
4,None,None
5,None,None
6,None,None
7,if DrugB_gene333 < -1.2111688 and GO:0045582 >= 5.402659 and then value = 0.03803933,None
8,if DrugA_gene73 >= 0.69495153 and DrugA_gene162 >= -0.10783174 and DrugA_gene211 < -4.0904865 and DrugA_gene280 >= 1.9136972 and DrugA_gene333 < 0.12581053 and DrugA_gene891 >= 0.46181083 and DrugB_gene30 < 1.1596841 and DrugB_gene415 < -1.8690047 and GO:0045582 >= 63.65701 and then value = 0.45087666200000004,None
9,None,None
