,0,1
0,None,None
1,None,None
2,if DrugA_gene73 >= -0.7153177 and DrugA_gene213 < -0.23463495 and DrugA_gene234 >= 1.1806619 and DrugA_gene265 < 0.15300255 and DrugA_gene309 < -0.49539822 and DrugA_gene367 >= 0.04876653 and DrugA_gene370 >= 0.2767103 and DrugA_gene576 < -0.36605072 and DrugA_gene583 >= 0.2691188 and DrugA_gene707 >= 0.48688477 and DrugA_gene726 < -0.42699915 and DrugA_gene742 >= 0.19223899 and DrugA_gene836 < 0.069608435 and DrugA_gene906 >= 0.3839634 and DrugB_gene213 < -0.05431904 and DrugB_gene234 < -0.2540915 and DrugB_gene265 >= -0.33212554 and DrugB_gene309 >= -0.0014795819 and DrugB_gene331 < -0.114907846 and DrugB_gene363 >= -0.5827712 and DrugB_gene367 >= 0.2418746 and DrugB_gene370 >= 0.07094702 and DrugB_gene441 < -0.20666482 and DrugB_gene575 < -2.41509 and DrugB_gene576 >= 0.3327027 and DrugB_gene583 >= 0.6039257 and DrugB_gene707 >= 0.88038313 and DrugB_gene726 < -0.41394365 and DrugB_gene836 < -0.59025383 and compress_LAYER_level_boost_feature_0 < 8.233612 and then value = 5.078165232999999,None
3,None,None
4,if DrugA_gene309 < -1.3051302 and DrugA_gene331 >= 0.3799904 and DrugA_gene367 >= 0.05898566 and DrugA_gene370 < -0.96057343 and DrugA_gene575 < -3.4584067 and DrugA_gene576 < -2.2051997 and DrugA_gene726 < -0.23377466 and DrugB_gene213 < -0.34520018 and DrugB_gene906 >= 0.043276228 and GO:0120034 >= 22.699293 and then value = 0.722042247,None
5,None,None
6,None,None
7,if DrugA_gene576 < -0.8062868 and DrugA_gene836 >= 3.3036437 and DrugA_gene906 >= -1.073705 and DrugB_gene73 >= 5.044683 and DrugB_gene213 < -0.33650857 and DrugB_gene234 >= 0.32827124 and DrugB_gene363 >= 4.182525 and DrugB_gene370 >= 1.4900491 and DrugB_gene438 >= 0.11392772 and compress_LAYER_level_boost_feature_0 < -3.128958 and then value = 0.53776699,None
8,if DrugA_gene73 >= 0.54039615 and DrugA_gene213 < -0.07630688 and DrugA_gene234 < 0.1676301 and DrugA_gene265 < 0.61661667 and DrugA_gene309 < -0.84807855 and DrugA_gene367 < -0.24694845 and DrugA_gene370 >= -0.039273266 and DrugA_gene441 < 0.1465525 and DrugA_gene576 >= 0.60919505 and DrugA_gene707 < -0.010834204 and DrugA_gene836 >= 1.1886744 and DrugB_gene73 < 2.1285129 and DrugB_gene213 < 0.6623205 and DrugB_gene367 >= 0.31169784 and DrugB_gene370 >= 1.0057105 and DrugB_gene438 >= -0.78015363 and DrugB_gene575 < -0.37795877 and GO:0120034 < -15.2432575 and then value = 6.87280322,None
9,None,None
