,0,1
0,None,None
1,None,None
2,if DrugA_gene168 < -0.3789668 and DrugA_gene177 >= 0.07702558 and DrugA_gene244 >= 0.4401005 and DrugA_gene421 < 0.4640761 and DrugA_gene424 >= 0.9255964 and DrugB_gene47 >= 0.7288226 and DrugB_gene201 >= 0.23396781 and DrugB_gene279 < -1.0251706 and DrugB_gene363 >= 0.3694144 and DrugB_gene423 >= 0.535782 and DrugB_gene424 >= 0.48444796 and DrugB_gene427 >= -0.32895857 and DrugB_gene501 >= 0.26457775 and then value = 6.7851696863,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,None,None
9,None,None
10,if DrugA_gene168 >= 5.0401 and DrugA_gene177 >= 0.62766576 and DrugA_gene201 < -1.5259053 and DrugA_gene224 < -1.2703898 and DrugA_gene244 >= 0.3942812 and DrugA_gene279 < -1.8247344 and DrugA_gene421 < 0.10008699 and DrugA_gene424 >= 1.4808567 and DrugA_gene501 >= 1.3901072 and DrugB_gene47 >= -0.007981677 and DrugB_gene168 < -2.7103553 and DrugB_gene201 < 0.23396781 and DrugB_gene244 >= 0.21721575 and DrugB_gene279 >= -0.3844041 and DrugB_gene362 >= 0.9117485 and DrugB_gene363 < -0.5744504 and DrugB_gene422 >= 0.31179512 and DrugB_gene424 < 0.3950952 and DrugB_gene607 >= 0.38929397 and then value = 16.6964527325,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene47 >= 1.0890411 and DrugA_gene168 >= 2.2153916 and DrugA_gene244 < -0.21183267 and DrugA_gene421 < -0.26346904 and DrugA_gene427 >= 0.074661896 and DrugA_gene607 < -2.8167336 and DrugB_gene47 >= 0.17514469 and DrugB_gene168 >= 5.0401 and DrugB_gene201 >= 0.39009184 and DrugB_gene244 >= -0.12751487 and DrugB_gene362 < -0.13667402 and DrugB_gene363 >= 4.182525 and DrugB_gene421 >= 0.73643 and DrugB_gene423 < -2.6834793 and DrugB_gene501 < 1.4201971 and DrugB_gene607 < -4.2777233 and then value = 3.0730973728999995,None
15,if DrugA_gene47 >= 1.3264866 and DrugA_gene177 >= 0.16517638 and DrugA_gene224 < 0.5292262 and DrugA_gene244 < -0.21183267 and DrugA_gene279 >= 0.64167964 and DrugA_gene362 < -0.1967805 and DrugA_gene363 >= 0.5916172 and DrugA_gene424 < 0.3147227 and DrugA_gene427 >= 0.24450004 and DrugA_gene501 < -0.49583042 and DrugB_gene47 >= -0.4696753 and DrugB_gene177 >= -0.45505127 and DrugB_gene201 < -0.68574435 and DrugB_gene279 < -0.2077848 and DrugB_gene362 < -0.13667402 and DrugB_gene421 >= 0.98848134 and DrugB_gene422 >= 0.32691538 and DrugB_gene424 >= 0.48444796 and DrugB_gene607 >= -0.11932528 and then value = 19.718860126999996,None
16,None,None
17,None,None
18,None,None
19,None,None
20,None,None
21,None,None
22,None,None
23,None,None
