,0,1
0,None,None
1,None,None
2,if DrugA_gene20 < 0.34153122 and DrugA_gene21 < -0.0016269225 and DrugA_gene23 < 0.46253395 and DrugA_gene73 >= 0.51444894 and DrugA_gene131 < -0.28075895 and DrugA_gene137 >= 0.50020903 and DrugA_gene140 < 0.20602396 and DrugA_gene151 < -0.017090779 and DrugA_gene162 >= -0.4638693 and DrugA_gene194 >= 1.0531805 and DrugA_gene205 < -0.033165894 and DrugA_gene226 >= 0.5928988 and DrugA_gene244 >= 1.600528 and DrugA_gene282 < -0.007912367 and DrugA_gene293 >= 0.018163674 and DrugA_gene315 < 0.11113638 and DrugA_gene355 < -0.19373994 and DrugA_gene356 >= 0.11760603 and DrugA_gene372 >= 0.31913346 and DrugA_gene419 >= 3.2921615 and DrugA_gene443 >= 5.5577836 and DrugA_gene600 < 0.023226075 and DrugA_gene793 >= 0.09283127 and DrugA_gene809 < 0.11586719 and DrugB_gene20 >= -0.26101476 and DrugB_gene21 < -0.22416413 and DrugB_gene52 < -0.25919712 and DrugB_gene94 >= -0.28696972 and DrugB_gene126 >= -0.53959715 and DrugB_gene131 < -0.46680364 and DrugB_gene137 >= 0.6034131 and DrugB_gene151 >= 0.15697229 and DrugB_gene162 >= -0.09534476 and DrugB_gene194 >= 0.16530108 and DrugB_gene205 < -0.22302297 and DrugB_gene226 < -0.09762256 and DrugB_gene244 < -0.89292705 and DrugB_gene282 >= 0.22650342 and DrugB_gene315 >= 1.0963678 and DrugB_gene443 >= 0.9174322 and DrugB_gene490 < -0.48640543 and DrugB_gene513 < 0.16689378 and DrugB_gene600 >= 1.5825922 and DrugB_gene785 < -0.35030338 and DrugB_gene793 < 0.26419622 and DrugB_gene809 >= -0.06712873 and DrugB_gene914 >= 0.15985817 and DrugB_gene942 < -0.84795296 and GO:0048812 < -37.945015 and compress_node_level_boost_feature_0 >= 13.770195 and then value = 6.1995239369999995,None
3,None,None
4,if DrugA_gene46 < -0.55299735 and DrugA_gene162 >= 0.12650305 and DrugA_gene205 < -0.20695439 and DrugA_gene885 < -0.40875548 and DrugA_gene914 < 0.15850788 and DrugB_gene137 < -0.48310706 and DrugB_gene151 >= 0.1450127 and DrugB_gene205 >= 0.13160557 and DrugB_gene553 >= -0.419551 and GO:0016358 < -3.6386852 and then value = 0.97065519,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene20 < 0.26346874 and DrugA_gene21 >= 0.23508008 and DrugA_gene140 < -1.6799777 and DrugA_gene151 < -0.29259765 and DrugA_gene162 >= -0.14601818 and DrugA_gene194 >= 0.80518746 and DrugA_gene205 < -0.14457747 and DrugA_gene490 < -2.3981545 and DrugA_gene885 < -0.103079125 and DrugB_gene46 >= -0.5364255 and DrugB_gene73 < 2.2771301 and DrugB_gene204 >= 0.1605262 and DrugB_gene356 < -0.6447028 and DrugB_gene372 < 1.020637 and DrugB_gene809 < -0.114613906 and DrugB_gene914 < 0.14848311 and GO:0048812 < -59.20055 and GO:0016358 >= 90.81845 and compress_node_level_boost_feature_0 >= 174.741 and then value = 6.116953979,None
9,None,None
