,0,1
0,None,None
1,None,None
2,if DrugA_gene23 < -0.10627669 and DrugA_gene382 < -0.35734883 and DrugA_gene384 >= 0.21819273 and DrugA_gene516 < 0.050996177 and DrugA_gene859 < 0.037451137 and DrugA_gene871 < -1.5288488 and DrugB_gene151 >= 0.3107056 and DrugB_gene207 < -4.3300233 and DrugB_gene293 < 0.028251294 and DrugB_gene334 >= -0.22615382 and DrugB_gene415 >= 0.23066533 and DrugB_gene451 < -0.3416811 and then value = 1.643471467,None
3,None,None
4,if DrugA_gene80 < -1.6497892 and DrugA_gene213 < -0.3178738 and DrugA_gene871 < -1.537894 and DrugB_gene134 >= 0.18504098 and DrugB_gene151 < -0.29227826 and DrugB_gene382 < -0.2728352 and DrugB_gene447 >= 0.90023017 and GO:0032273 >= 161.86348 and then value = 0.36874529,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene23 < 0.06497802 and DrugA_gene31 >= 1.0306547 and DrugA_gene134 < -0.061970524 and DrugA_gene137 >= 0.53985906 and DrugA_gene266 >= 2.7646642 and DrugA_gene384 >= 0.5157547 and DrugA_gene447 >= 0.1033753 and DrugA_gene516 >= 1.4215052 and DrugB_gene23 < 0.7624092 and DrugB_gene137 < 0.48318493 and DrugB_gene213 < -0.29505664 and DrugB_gene266 >= 0.50099206 and DrugB_gene334 < 2.0788894 and DrugB_gene427 < 0.39980274 and DrugB_gene836 < 1.6785636 and then value = 11.65850569,None
9,None,None
10,if DrugA_gene93 < -0.73894775 and DrugA_gene137 >= 0.075449824 and DrugA_gene151 < -0.27401978 and DrugA_gene207 < -2.283016 and DrugA_gene266 >= -0.04060125 and DrugA_gene334 >= 0.2813478 and DrugA_gene408 >= 1.8582556 and DrugA_gene415 >= 1.158936 and DrugA_gene460 < 0.23885196 and DrugA_gene516 < 0.050996177 and DrugA_gene665 < -0.45364925 and DrugA_gene859 < 0.037451137 and DrugA_gene871 < -1.4528365 and DrugB_gene23 < 0.16452143 and DrugB_gene151 >= 0.32233453 and DrugB_gene256 >= 1.5743163 and DrugB_gene293 < 0.028251294 and DrugB_gene384 >= 1.4554125 and DrugB_gene415 < 0.4878497 and then value = 3.069324572,None
11,None,None
12,None,None
13,None,None
