,0,1
0,None,None
1,None,None
2,if DrugA_gene2 >= 4.486327 and DrugA_gene38 >= 3.6016812 and DrugA_gene52 < -3.4810386 and DrugA_gene123 >= 0.4069395 and DrugA_gene336 < -1.7972591 and DrugA_gene793 < -1.1803396 and DrugB_gene56 >= 1.3963935 and DrugB_gene279 >= 0.30790943 and DrugB_gene336 >= 0.6363648 and then value = 4.988422347999999,None
3,None,None
4,None,None
5,None,None
6,None,None
7,if DrugA_gene11 >= 1.8565055 and DrugA_gene52 < -0.24011639 and DrugA_gene224 < 0.54944384 and DrugA_gene331 >= 0.32476613 and DrugB_gene11 >= 1.4296784 and DrugB_gene38 >= 3.6016812 and DrugB_gene52 >= -0.81036735 and DrugB_gene56 < -0.5483323 and DrugB_gene143 < -0.9806099 and DrugB_gene331 < 0.27176085 and DrugB_gene336 >= -0.32494432 and then value = 1.6219072300000001,None
8,if DrugA_gene11 < -0.2558167 and DrugA_gene38 >= 3.6016812 and DrugA_gene52 < 0.1476336 and DrugA_gene123 >= -0.13592166 and DrugA_gene143 >= 1.1037037 and DrugA_gene279 < -1.1021407 and DrugA_gene331 < -0.1784024 and DrugA_gene336 < -0.36392933 and DrugA_gene350 >= 0.06386873 and DrugA_gene793 < -0.20048651 and DrugB_gene2 >= -0.5534794 and DrugB_gene56 >= 0.79892075 and DrugB_gene224 < 0.87261176 and DrugB_gene279 >= 0.30790943 and DrugB_gene336 >= 1.6446936 and DrugB_gene350 >= 1.7967119 and DrugB_gene793 >= -1.4595809 and then value = 4.287441822,None
9,None,None
10,if DrugA_gene2 >= 3.849934 and DrugA_gene11 >= 1.8565055 and DrugA_gene38 < -5.566589 and DrugA_gene52 < -0.24011639 and DrugA_gene56 < 0.18160065 and DrugA_gene224 < 0.54944384 and DrugA_gene279 < -0.3621369 and DrugA_gene331 >= 0.32476613 and DrugA_gene336 < -1.7972591 and DrugB_gene2 < -0.6581991 and DrugB_gene11 >= 1.4296784 and DrugB_gene38 >= 3.6016812 and DrugB_gene52 < -3.7011383 and DrugB_gene123 < -0.0013816485 and DrugB_gene331 < 0.6486336 and DrugB_gene336 >= 0.6363648 and DrugB_gene350 < 0.2327928 and DrugB_gene352 >= 0.016409656 and then value = 13.866473625000003,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene2 >= 3.849934 and DrugA_gene52 >= 0.31382304 and DrugA_gene143 >= -0.07611276 and DrugA_gene793 >= 0.42312455 and DrugB_gene2 >= 0.14166856 and DrugB_gene11 >= -0.7969916 and DrugB_gene56 < 0.094690934 and DrugB_gene224 < 0.13669094 and DrugB_gene279 >= -0.1288621 and DrugB_gene350 >= 1.3959025 and then value = 8.522205802999999,None
15,if DrugA_gene2 < -0.0126383575 and DrugA_gene11 < 0.13129997 and DrugA_gene38 >= 3.6016812 and DrugA_gene52 < -0.97836494 and DrugA_gene123 >= -0.05510288 and DrugA_gene279 < -1.1021407 and DrugB_gene11 >= 0.5765588 and DrugB_gene38 >= 0.7049992 and DrugB_gene52 < -1.9378066 and DrugB_gene224 >= 0.87261176 and DrugB_gene279 < -1.4925792 and DrugB_gene336 >= 0.6363648 and then value = 21.424018165,None
