,0,1
0,None,None
1,None,None
2,if DrugA_gene19 < 0.28912604 and DrugA_gene80 >= -0.5770364 and DrugA_gene88 >= -0.08094878 and DrugA_gene93 < -2.0559294 and DrugA_gene107 >= -0.09905 and DrugA_gene136 < 0.36083183 and DrugA_gene209 < 0.17166491 and DrugA_gene260 < 0.24547121 and DrugA_gene374 < -0.06483194 and DrugA_gene400 < -0.3004271 and DrugA_gene415 < 0.16910303 and DrugA_gene437 < -0.12242317 and DrugA_gene446 < -8.230155 and DrugA_gene476 >= -0.06654275 and DrugA_gene511 >= 0.52866256 and DrugA_gene523 < -0.52000463 and DrugA_gene546 < -0.44393507 and DrugA_gene567 < 0.29852057 and DrugA_gene603 < -0.72203124 and DrugA_gene630 < -0.09223175 and DrugA_gene660 < 0.088415235 and DrugA_gene674 >= 1.3408551 and DrugA_gene683 >= 0.55847275 and DrugA_gene688 < 0.22000042 and DrugA_gene757 < -0.5578714 and DrugA_gene768 < -1.744734 and DrugA_gene801 < 0.1680634 and DrugA_gene819 < 0.05889917 and DrugA_gene879 >= 5.150325 and DrugB_gene19 >= 1.240075 and DrugB_gene42 < 0.14543252 and DrugB_gene80 >= 0.3517778 and DrugB_gene88 >= 0.41751522 and DrugB_gene93 < -0.5362767 and DrugB_gene107 < -1.41523 and DrugB_gene136 >= -0.7063305 and DrugB_gene209 >= 0.76772714 and DrugB_gene260 >= -0.14818996 and DrugB_gene356 >= 0.9348973 and DrugB_gene374 >= 0.20769405 and DrugB_gene400 >= 0.3320408 and DrugB_gene415 >= 0.23066533 and DrugB_gene446 >= 0.21849175 and DrugB_gene516 >= 0.054716855 and DrugB_gene523 >= 0.18145415 and DrugB_gene546 >= 0.70259446 and DrugB_gene563 < -1.3716884 and DrugB_gene567 >= 1.4380238 and DrugB_gene600 >= 0.3501835 and DrugB_gene603 < 0.016682165 and DrugB_gene630 < 0.056926377 and DrugB_gene660 < -0.08732562 and DrugB_gene674 < 0.11817412 and DrugB_gene688 >= 0.33557972 and DrugB_gene710 < -0.24669698 and DrugB_gene768 >= -0.10991797 and DrugB_gene813 >= 1.0715561 and DrugB_gene819 >= 0.21732354 and DrugB_gene879 < 0.049052462 and GO:0045892 < 1.9720832 and then value = 6.8926001285,None
3,None,None
4,if DrugA_gene446 < -8.230155 and DrugA_gene523 < -3.8596988 and DrugA_gene768 >= 2.5230389 and DrugB_gene209 >= 0.4874446 and DrugB_gene400 >= 0.3048767 and DrugB_gene768 < -0.0028980616 and GO:0045892 < -10.226329 and compress_LAYER_level_boost_feature_0 < -7.0228744 and then value = 0.0309209703,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene93 < -0.5417993 and DrugA_gene356 < -0.6480613 and DrugA_gene400 < -0.3004271 and DrugA_gene437 < -0.30702093 and DrugA_gene801 < -0.31299183 and DrugB_gene819 < -0.14785597 and GO:0045892 < -60.764328 and then value = 1.0649134065,None
9,None,None
