,0,1
0,None,None
1,None,None
2,if DrugA_gene21 < 0.10390869 and DrugA_gene44 < 0.4670691 and DrugA_gene51 >= 4.7663 and DrugA_gene365 >= -0.030727446 and DrugA_gene423 < 0.12076861 and DrugA_gene458 >= 0.38363457 and DrugA_gene478 < -2.522155 and DrugA_gene534 >= -0.41258892 and DrugA_gene537 >= -0.41367787 and DrugA_gene715 >= 0.10404915 and DrugA_gene731 < -0.86597794 and DrugB_gene21 < -0.04138615 and DrugB_gene44 < -0.3310337 and DrugB_gene51 >= -0.10691783 and DrugB_gene75 >= -0.44142497 and DrugB_gene189 < 0.9648347 and DrugB_gene299 < -3.6967602 and DrugB_gene323 < -0.23756698 and DrugB_gene412 < -0.8632866 and DrugB_gene450 >= 1.1732461 and DrugB_gene592 >= -0.384017 and DrugB_gene604 >= 2.0370202 and DrugB_gene768 >= -0.9606876 and DrugB_gene891 >= -0.009594256 and GO:0003006 < -4.161607 and GO:0048609 < 1.2018149 and GO:0044703 >= 60.85598 and GO:0022412 >= 8.1376705 and compress_LAYER_level_boost_feature_1 < -8.518015 and then value = 8.827433046,None
3,None,None
4,if DrugA_gene51 < -0.61766964 and DrugA_gene132 >= 7.638138 and DrugA_gene768 < -0.22511303 and DrugB_gene119 >= 2.261844 and DrugB_gene299 >= 2.5601768 and DrugB_gene419 < -0.99693954 and DrugB_gene604 < -0.51579523 and DrugB_gene731 < -0.41417792 and GO:0003006 >= 10.776442 and GO:0048609 >= 93.954994 and GO:0044703 >= 66.521255 and GO:0022412 >= 72.266174 and compress_LAYER_level_boost_feature_0 < -0.9014826 and compress_LAYER_level_boost_feature_1 >= 129.92236 and then value = 0.23586257949999997,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene119 < 0.025014086 and DrugA_gene146 >= -0.37444252 and DrugA_gene419 < -0.5963069 and DrugA_gene478 >= 0.48822603 and DrugA_gene534 >= -0.29669255 and DrugA_gene541 < -0.3756388 and DrugA_gene731 < -0.59735465 and DrugB_gene132 < -0.3355073 and DrugB_gene146 < 0.22131075 and DrugB_gene313 >= 0.15021718 and DrugB_gene419 >= -0.9636245 and DrugB_gene482 >= 0.16155067 and GO:0048609 < 5.392951 and GO:0022412 >= 214.56749 and compress_node_level_boost_feature_0 < -42.106018 and compress_LAYER_level_boost_feature_0 < -35.88366 and then value = 3.414640014,None
9,None,None
