,0,1
0,None,None
1,None,None
2,if DrugA_gene52 < -0.5942595 and DrugA_gene279 < -0.7571545 and DrugA_gene410 >= 0.08849188 and DrugA_gene874 < -0.15321943 and DrugB_gene38 >= -0.22820114 and DrugB_gene52 < -0.4126826 and DrugB_gene195 < -0.9080384 and DrugB_gene205 < -0.19734114 and DrugB_gene279 >= 2.8768315 and DrugB_gene785 >= 0.5566648 and DrugB_gene874 >= -0.17545676 and then value = 8.05359451,None
3,None,None
4,if DrugA_gene38 >= 0.68046486 and DrugA_gene195 >= 1.4630597 and DrugA_gene205 >= 1.1101905 and DrugA_gene330 >= 0.49776566 and DrugA_gene367 >= 0.15845488 and DrugB_gene38 >= 1.26857 and DrugB_gene52 < -3.7011383 and DrugB_gene279 >= -0.93225306 and DrugB_gene330 >= 0.12357348 and DrugB_gene367 >= 0.23363444 and DrugB_gene410 >= 0.2588132 and DrugB_gene525 < -0.18110408 and DrugB_gene785 < -0.36992103 and DrugB_gene923 < -0.10513294 and then value = 2.5970790934,None
5,None,None
6,None,None
7,if DrugA_gene172 < 0.06556979 and DrugA_gene195 >= 1.4630597 and DrugA_gene279 < -1.0251706 and DrugA_gene330 >= 0.49776566 and DrugA_gene367 >= 0.15845488 and DrugA_gene874 < 0.49386007 and DrugB_gene38 >= -0.16456369 and DrugB_gene195 < -0.9080384 and DrugB_gene367 >= 0.113626026 and DrugB_gene410 >= 0.2588132 and DrugB_gene923 < -0.10513294 and then value = 2.2533703434,None
8,None,None
9,None,None
10,if DrugA_gene2 < 0.11135374 and DrugA_gene205 < 0.48001373 and DrugB_gene38 >= 1.26857 and DrugB_gene52 >= 0.12851864 and DrugB_gene172 >= -0.18777567 and DrugB_gene195 < -0.9080384 and DrugB_gene205 >= 2.1591501 and DrugB_gene330 < -0.009837624 and DrugB_gene367 >= 0.23363444 and DrugB_gene785 < -0.36992103 and DrugB_gene874 >= -0.45180273 and DrugB_gene923 >= 0.54437995 and then value = 23.949589958000004,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene2 >= 5.175825 and DrugA_gene52 < -0.9668721 and DrugA_gene172 >= 0.7375086 and DrugA_gene195 < -0.5769198 and DrugA_gene205 >= 1.27405 and DrugA_gene279 < -1.0251706 and DrugA_gene330 < -0.43525666 and DrugA_gene410 >= 0.101720214 and DrugA_gene874 < 0.42859516 and DrugA_gene923 < -0.15863004 and DrugB_gene38 < -0.7559201 and DrugB_gene172 >= 0.09764521 and DrugB_gene195 >= -1.421499 and DrugB_gene330 >= -0.13272303 and DrugB_gene525 >= -0.18354285 and then value = 12.593638644,None
15,if DrugA_gene2 >= 0.6316878 and DrugA_gene38 >= 0.7736968 and DrugA_gene52 < -0.2326014 and DrugA_gene367 < -0.5409028 and DrugA_gene525 >= 1.2378054 and DrugA_gene874 < 0.40512305 and DrugA_gene923 >= 0.96989334 and DrugB_gene2 >= 0.5341284 and DrugB_gene52 >= -0.4920104 and DrugB_gene279 >= 0.09684749 and DrugB_gene330 >= 0.365115 and DrugB_gene785 < 0.6439103 and DrugB_gene923 >= 0.9796295 and then value = 27.91761386,None
16,None,None
17,None,None
18,None,None
19,None,None
20,None,None
