,0,1
0,None,None
1,None,None
2,if DrugA_gene168 < 0.37268975 and DrugA_gene373 < -1.285672 and DrugA_gene408 >= 0.05015482 and DrugA_gene485 >= -0.28395724 and DrugA_gene780 >= 0.973 and DrugA_gene844 < 0.10957956 and DrugA_gene877 >= 0.6566267 and DrugB_gene86 < -0.27171576 and DrugB_gene107 >= 2.7313805 and DrugB_gene373 >= 3.9539232 and DrugB_gene408 < 0.2741373 and DrugB_gene663 >= 0.37177798 and DrugB_gene684 >= 1.7735904 and DrugB_gene780 < -0.13568288 and GO:0031056 < 0.877095 and then value = 3.64921364,None
3,None,None
4,if DrugA_gene86 >= 0.7167766 and DrugA_gene485 >= 0.086825326 and DrugB_gene107 >= -0.4061693 and GO:0031056 >= 80.529816 and compress_LAYER_level_boost_feature_0 >= 116.886116 and compress_LAYER_level_boost_feature_1 >= 105.020546 and then value = 0.12964378115,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene86 >= 0.37804464 and DrugA_gene107 >= 2.3252401 and DrugA_gene168 < 0.10013726 and DrugA_gene877 < -1.969543 and DrugB_gene86 < 0.4686057 and DrugB_gene107 >= -1.8309698 and DrugB_gene168 < -1.1401001 and DrugB_gene408 >= 0.55871546 and DrugB_gene684 >= 1.9808085 and GO:0031056 < 4.8611584 and then value = 2.4289328930000003,None
9,None,None
10,if DrugA_gene86 < -0.4679696 and DrugA_gene168 < 0.37268975 and DrugA_gene373 < -0.05774928 and DrugA_gene408 >= 0.05015482 and DrugA_gene485 < -0.34129992 and DrugA_gene663 < 0.048487484 and DrugA_gene684 >= 0.53476894 and DrugA_gene844 < 0.10957956 and DrugA_gene877 >= 0.6566267 and DrugB_gene86 >= 1.0435402 and DrugB_gene107 >= 2.7313805 and DrugB_gene168 >= -0.16124392 and DrugB_gene373 >= 3.9539232 and DrugB_gene485 < -1.6564882 and DrugB_gene663 >= 0.37177798 and DrugB_gene684 >= 0.54025507 and DrugB_gene780 < -0.13568288 and GO:0031056 < 0.36449653 and then value = 7.64110708,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene86 >= 0.248972 and DrugA_gene107 < -0.50446284 and DrugA_gene168 >= 1.3797338 and DrugA_gene373 < -0.42139006 and DrugA_gene408 < -0.3366109 and DrugA_gene485 < -1.2164531 and DrugA_gene684 < -1.0282347 and DrugA_gene844 >= 1.2556936 and DrugA_gene912 >= -0.07750616 and DrugB_gene86 < -2.1193686 and DrugB_gene168 < -0.43096757 and DrugB_gene373 < -0.51311576 and DrugB_gene408 >= 0.01824755 and DrugB_gene485 >= 1.2021117 and DrugB_gene663 >= -0.099534824 and DrugB_gene684 >= 1.3596933 and DrugB_gene844 < -0.09776016 and GO:0031056 >= 155.32455 and compress_LAYER_level_boost_feature_1 < 20.114353 and then value = 13.3194655469,None
