,0,1
0,None,None
1,None,None
2,if DrugA_gene118 < -2.4952292 and DrugA_gene169 < 0.306058 and DrugA_gene223 < -0.06853115 and DrugA_gene624 < -0.4874719 and DrugA_gene932 >= 0.003473962 and DrugB_gene42 >= 0.37385637 and DrugB_gene169 < -0.11580905 and DrugB_gene223 >= 1.1069833 and DrugB_gene624 < -0.088357605 and DrugB_gene711 < -0.22620933 and DrugB_gene789 >= -0.42602825 and DrugB_gene850 < -0.4722268 and DrugB_gene932 >= 0.71062636 and then value = 12.19743225,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene60 < -4.585125 and DrugA_gene118 < -0.23613694 and DrugA_gene223 < -0.059065193 and DrugA_gene260 >= 1.604903 and DrugA_gene711 >= 0.36677468 and DrugA_gene789 >= 0.520352 and DrugA_gene850 >= 1.1884983 and DrugA_gene859 < -1.0039649 and DrugB_gene42 < -0.78985393 and DrugB_gene118 < 0.7336386 and DrugB_gene223 < -0.063545525 and DrugB_gene624 < -0.088357605 and DrugB_gene711 < -0.22620933 and DrugB_gene789 >= -0.42602825 and DrugB_gene850 < -0.4722268 and then value = 7.019424624279999,None
9,if DrugA_gene118 < -0.49238452 and DrugA_gene169 >= 1.1165633 and DrugA_gene223 < -0.059065193 and DrugA_gene624 < 0.16113943 and DrugA_gene789 < -1.8044086 and DrugA_gene850 >= 1.1884983 and DrugA_gene859 < -1.0039649 and DrugB_gene42 < -0.78985393 and DrugB_gene60 >= 0.42440337 and DrugB_gene850 >= 0.20194218 and then value = 0.31901838837999996,None
10,if DrugA_gene60 >= 0.98091966 and DrugA_gene223 < -0.059065193 and DrugA_gene260 < -0.2720313 and DrugA_gene451 >= 0.27697596 and DrugA_gene624 < -0.81021607 and DrugA_gene711 < -1.0850794 and DrugA_gene789 >= 0.14866003 and DrugA_gene850 >= 1.1884983 and DrugA_gene859 < -0.28521106 and DrugA_gene932 >= 0.83603513 and DrugB_gene42 < 0.32123443 and DrugB_gene60 >= 0.787134 and DrugB_gene169 >= 0.50988626 and DrugB_gene451 < 0.48007578 and DrugB_gene711 >= 0.6264212 and DrugB_gene850 < -0.036730304 and DrugB_gene859 < 0.12514961 and then value = 19.538123966780002,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene42 >= -0.09309076 and DrugA_gene169 < -0.58575106 and DrugA_gene624 < -0.7806492 and DrugA_gene711 >= 1.5971808 and DrugA_gene789 < -3.565074 and DrugA_gene850 < -0.5090488 and DrugA_gene859 >= 0.66445756 and DrugB_gene42 >= -0.0008166011 and DrugB_gene169 < 2.1434262 and DrugB_gene260 >= -1.0441632 and DrugB_gene451 < -0.31682804 and DrugB_gene789 < -0.22125718 and DrugB_gene850 >= -0.4722268 and DrugB_gene859 >= 0.66445756 and then value = 21.423988484,None
