,0,1
0,None,None
1,None,None
2,if DrugA_gene46 < -0.0028195167 and DrugA_gene74 >= 1.19524 and DrugA_gene143 >= 1.167815 and DrugA_gene168 < 0.31982362 and DrugA_gene330 < -1.3202738 and DrugA_gene338 < -0.34685665 and DrugA_gene365 < -1.6027206 and DrugA_gene632 >= 0.47680378 and DrugA_gene777 < -0.22323418 and DrugB_gene46 >= 3.5865912 and DrugB_gene66 >= -0.23813441 and DrugB_gene106 < -0.20060351 and DrugB_gene131 >= -0.1014739 and DrugB_gene154 < -1.7118869 and DrugB_gene487 < 0.2829262 and DrugB_gene632 >= 0.104714006 and GO:0007596 < 7.936301 and then value = 4.8703996300000005,None
3,None,None
4,if DrugA_gene154 >= -0.065589055 and DrugA_gene245 >= 0.88094175 and DrugA_gene330 < -0.65782404 and DrugA_gene338 >= 0.7721492 and DrugA_gene632 >= 0.16964865 and DrugA_gene871 < -0.121874094 and DrugB_gene73 < -0.41245133 and DrugB_gene106 < -0.23403604 and DrugB_gene143 < -0.17580631 and DrugB_gene195 >= 0.26455855 and DrugB_gene365 < -1.3359444 and then value = 0.1486854394,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene64 < 0.038899794 and DrugA_gene73 >= -0.49867642 and DrugA_gene79 >= 0.4742974 and DrugA_gene131 < -0.30812195 and DrugA_gene146 < -2.4661202 and DrugA_gene154 < -0.8247082 and DrugA_gene201 < -0.20644665 and DrugA_gene293 < -0.2534957 and DrugA_gene338 < -0.44912797 and DrugA_gene455 >= 1.24014 and DrugA_gene515 >= 0.23837999 and DrugB_gene23 < 0.900807 and DrugB_gene52 >= -0.24223709 and DrugB_gene64 < -0.34004796 and DrugB_gene74 >= 0.11825305 and DrugB_gene146 < 0.8178098 and DrugB_gene168 < -0.27866513 and DrugB_gene169 >= -0.46625587 and DrugB_gene323 >= 0.20837614 and DrugB_gene362 >= -0.34072942 and DrugB_gene441 >= 2.5890484 and DrugB_gene442 >= -0.30905408 and DrugB_gene487 >= 0.2829262 and DrugB_gene515 < -0.95468473 and DrugB_gene632 < -3.053711 and DrugB_gene777 < 0.2586277 and compress_LAYER_level_boost_feature_0 < 3.6752248 and then value = 4.3260221187,None
9,None,None
10,if DrugA_gene46 < 0.8037641 and DrugA_gene79 >= -0.053125277 and DrugA_gene143 >= 0.9679 and DrugA_gene154 >= -0.11951912 and DrugA_gene168 >= 5.0401 and DrugA_gene323 >= 0.66031635 and DrugA_gene338 < 0.08560178 and DrugA_gene365 < -0.8034084 and DrugA_gene515 < -0.17676699 and DrugB_gene52 >= 0.5653818 and DrugB_gene73 >= 2.329917 and DrugB_gene106 < 0.4606849 and DrugB_gene126 >= 0.35524035 and DrugB_gene195 >= 0.24528798 and DrugB_gene201 < -0.05867585 and DrugB_gene441 >= 2.5890484 and DrugB_gene487 >= 0.08405809 and DrugB_gene515 < -0.95468473 and DrugB_gene632 < -3.053711 and GO:0007596 < -23.453121 and then value = 8.920293118700002,None
11,None,None
12,None,None
13,None,None
