,0,1
0,None,None
1,None,None
2,if DrugA_gene2 < 0.20833929 and DrugA_gene226 < -1.0717963 and DrugA_gene290 >= 0.24096727 and DrugA_gene293 >= 2.0647821 and DrugA_gene516 >= 2.2050023 and DrugA_gene755 < -0.23689383 and DrugB_gene20 >= -0.14769432 and DrugB_gene137 < -0.6990782 and DrugB_gene290 >= 0.01506597 and DrugB_gene721 < 0.18658413 and then value = 10.022950938249998,None
3,None,None
4,if DrugA_gene20 < -2.600635 and DrugA_gene516 < -1.1930492 and DrugA_gene755 < -1.2243993 and DrugB_gene2 >= 0.5341284 and DrugB_gene20 >= 1.9020889 and DrugB_gene137 < -0.88328516 and DrugB_gene226 >= 0.31709558 and DrugB_gene293 >= 2.6314416 and DrugB_gene721 >= 1.5223418 and then value = 1.9541303945000001,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene2 < -0.19926625 and DrugA_gene20 < 0.12415862 and DrugA_gene137 >= -0.003968386 and DrugA_gene293 < -0.5536543 and DrugA_gene707 < -0.4396243 and DrugA_gene721 < -0.5956 and DrugB_gene2 >= -0.31279194 and DrugB_gene20 >= -1.231204 and DrugB_gene137 < 0.2708298 and DrugB_gene226 < -0.012726065 and DrugB_gene290 < -1.7073952 and DrugB_gene293 >= 1.8655909 and DrugB_gene707 >= 0.6963141 and DrugB_gene755 < -0.13603556 and then value = 5.8196684723,None
9,None,None
10,if DrugA_gene2 < -0.34746763 and DrugA_gene20 < -0.22592193 and DrugA_gene137 >= 0.34323964 and DrugA_gene516 < -0.1326943 and DrugA_gene755 < 0.16606614 and DrugB_gene2 >= 0.006354208 and DrugB_gene20 >= 0.13462558 and DrugB_gene137 >= -0.010742776 and DrugB_gene290 >= 0.10820417 and DrugB_gene293 < -0.06276035 and DrugB_gene516 >= 2.2050023 and DrugB_gene707 >= 0.4825418 and DrugB_gene721 < 0.2524561 and then value = 19.468665540000003,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene20 < 0.12415862 and DrugA_gene290 < -1.7073952 and DrugA_gene721 >= 0.24091338 and DrugB_gene2 >= 0.006354208 and DrugB_gene20 >= -0.14244427 and DrugB_gene137 < -0.61442924 and DrugB_gene226 < 0.10723012 and DrugB_gene290 >= 0.10820417 and DrugB_gene293 < -0.27178025 and DrugB_gene516 >= -0.021552231 and DrugB_gene707 >= 1.5412643 and DrugB_gene721 < 1.4530836 and then value = 26.8923437894,None
15,if DrugA_gene2 < 0.23312652 and DrugA_gene20 < -1.1445678 and DrugA_gene226 >= -0.3633824 and DrugA_gene290 >= 0.47550786 and DrugA_gene755 >= 0.3564242 and DrugB_gene2 >= 0.009066416 and DrugB_gene20 >= -0.14244427 and DrugB_gene137 < -0.88328516 and DrugB_gene226 >= 0.31709558 and DrugB_gene290 >= 0.10820417 and DrugB_gene707 >= 0.4825418 and DrugB_gene721 < 0.2524561 and then value = 24.999206604999998,None
16,None,None
17,None,None
18,None,None
19,None,None
20,None,None
21,None,None
22,None,None
23,None,None
