,0,1
0,None,None
1,None,None
2,if DrugA_gene11 < -1.4397827 and DrugA_gene196 < -2.6209502 and DrugA_gene228 >= 0.31246266 and DrugA_gene272 >= 0.30301148 and DrugA_gene273 < -0.14990315 and DrugA_gene274 < -1.3448 and DrugA_gene402 < -0.13588911 and DrugA_gene581 < -0.31459486 and DrugA_gene685 < 0.43003905 and DrugA_gene707 < -0.128355 and DrugB_gene272 < -0.10551186 and DrugB_gene273 >= 1.0801411 and DrugB_gene346 >= 0.52999794 and DrugB_gene402 < -0.09642315 and DrugB_gene581 >= 0.5348829 and DrugB_gene685 < 0.3304076 and DrugB_gene707 < -1.689538 and then value = 4.377117999,None
3,None,None
4,if DrugA_gene11 < -0.17184874 and DrugA_gene196 < -0.06655601 and DrugA_gene346 >= 1.9543183 and DrugA_gene402 >= 2.12565 and DrugA_gene685 < -0.2982581 and DrugA_gene707 < 0.008902395 and DrugB_gene11 >= 2.3004751 and DrugB_gene196 >= -0.42360786 and DrugB_gene228 < -0.24384108 and DrugB_gene272 < -0.3835792 and DrugB_gene581 >= 1.2174108 and DrugB_gene685 < -0.25572285 and compress_LAYER_level_boost_feature_0 < -6.923909 and then value = 1.9304986553,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene228 >= -0.025646571 and DrugA_gene272 < -0.58411855 and DrugA_gene274 < 0.25775796 and DrugA_gene685 >= 1.3821297 and DrugB_gene11 >= 2.3004751 and DrugB_gene228 >= 0.5612096 and DrugB_gene346 < 0.371769 and DrugB_gene685 < 1.4233177 and then value = 4.761773017,None
9,None,None
10,if DrugA_gene11 < 0.29965448 and DrugA_gene196 < -0.9623314 and DrugA_gene228 >= 0.31246266 and DrugA_gene272 >= 0.13101561 and DrugA_gene273 < 0.099634215 and DrugA_gene274 < -1.654063 and DrugA_gene581 < 0.28133863 and DrugA_gene685 < 0.09282741 and DrugA_gene707 < -0.128355 and DrugB_gene196 < -0.8266317 and DrugB_gene228 < -0.19803141 and DrugB_gene273 >= 1.0801411 and DrugB_gene274 >= 0.123249106 and DrugB_gene346 >= 1.434201 and DrugB_gene402 < -0.21227968 and DrugB_gene581 >= 0.5348829 and DrugB_gene707 < -1.689538 and then value = 8.899687094,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene11 < -0.12836364 and DrugA_gene228 < -0.279808 and DrugA_gene272 >= 0.30301148 and DrugA_gene273 < -0.14990315 and DrugA_gene274 < 0.17963141 and DrugA_gene402 < -0.13588911 and DrugA_gene581 < -0.68224144 and DrugA_gene685 < 0.43003905 and DrugB_gene11 >= 2.1244304 and DrugB_gene272 < -0.10551186 and DrugB_gene273 >= 2.4527755 and DrugB_gene274 < 0.123249106 and DrugB_gene402 < -0.09642315 and DrugB_gene581 >= 0.5348829 and DrugB_gene685 < 0.3304076 and then value = 13.933798143000002,None
