,0,1
0,None,None
1,None,None
2,if DrugA_gene6 < -0.2889336 and DrugA_gene21 < -0.54386985 and DrugA_gene23 < 0.46253395 and DrugA_gene93 < -0.5417993 and DrugA_gene171 < -0.5495211 and DrugA_gene211 >= -0.013974369 and DrugA_gene245 >= -0.123803 and DrugA_gene270 < -0.19164586 and DrugA_gene271 < -0.77254725 and DrugA_gene353 < 0.0989221 and DrugA_gene374 < -0.32332522 and DrugA_gene408 >= 0.25764292 and DrugA_gene415 < -0.06976413 and DrugA_gene444 < -0.19942413 and DrugA_gene465 < -0.07302682 and DrugA_gene472 >= 1.6663265 and DrugA_gene509 < -0.9916656 and DrugA_gene581 < 0.058945708 and DrugA_gene660 < 0.1249911 and DrugA_gene711 >= 0.53570855 and DrugB_gene23 >= 0.2375812 and DrugB_gene43 >= 1.3834541 and DrugB_gene76 >= 0.3748601 and DrugB_gene93 >= 1.0001999 and DrugB_gene146 < -0.14642367 and DrugB_gene211 < -0.18271601 and DrugB_gene245 >= 0.6931431 and DrugB_gene271 >= 0.07647676 and DrugB_gene415 >= 0.09509094 and DrugB_gene444 < -0.103633456 and DrugB_gene465 < -0.06225718 and DrugB_gene472 < -0.5171523 and DrugB_gene478 < -0.7769778 and DrugB_gene581 < 0.074220896 and DrugB_gene660 < -4.413084 and DrugB_gene711 < -1.3779321 and DrugB_gene877 >= 0.58590764 and DrugB_gene937 < -0.16533811 and GO:0071345 < 3.0861292 and GO:0070555 < 2.5321722 and compress_node_level_boost_feature_0 < -6.8058896 and then value = 4.730351247700002,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene21 < -0.33960202 and DrugA_gene23 < -0.5464786 and DrugA_gene76 >= 0.60967916 and DrugA_gene93 >= 0.14003423 and DrugA_gene146 >= 0.96036184 and DrugA_gene245 >= 0.059820775 and DrugA_gene261 < -0.01015524 and DrugA_gene415 < -0.16885479 and DrugA_gene581 < -0.1968314 and DrugB_gene21 < -0.2606315 and DrugB_gene23 < -0.8263958 and DrugB_gene76 < 0.23443732 and DrugB_gene146 < 0.2839955 and DrugB_gene231 >= 0.25743026 and DrugB_gene245 < -0.38387015 and DrugB_gene374 < 0.22459465 and DrugB_gene465 < -2.599411 and DrugB_gene472 < -0.15106633 and DrugB_gene478 < -0.54330385 and DrugB_gene509 < -0.9948214 and DrugB_gene660 < 2.9107542 and GO:0071345 < 3.7271843 and GO:0070555 < 1.6589725 and compress_LAYER_level_boost_feature_1 < -12.158628 and then value = 4.1829751575000005,None
9,None,None
