,0,1
0,None,None
1,None,None
2,if DrugA_gene43 < -0.33312792 and DrugA_gene65 >= 0.5988184 and DrugA_gene79 >= 0.52607036 and DrugA_gene251 >= 5.3211 and DrugA_gene254 < -0.0012374569 and DrugA_gene354 >= 0.4071563 and DrugA_gene418 < 0.32677066 and DrugA_gene447 < -1.1755699 and DrugA_gene636 >= 1.2713151 and DrugA_gene950 < 0.022740338 and DrugB_gene30 >= 1.913878 and DrugB_gene33 < -1.5313969 and DrugB_gene65 >= 0.513235 and DrugB_gene79 < -5.6288958 and DrugB_gene140 >= 5.279107 and DrugB_gene251 < -1.4573576 and DrugB_gene254 < -0.11789352 and DrugB_gene354 >= 0.37723872 and DrugB_gene418 < -0.17840797 and DrugB_gene465 >= 1.6173695 and DrugB_gene636 < -0.4625501 and DrugB_gene860 >= -1.4658718 and DrugB_gene950 < -0.5856669 and then value = 8.293300085,None
3,None,None
4,if DrugA_gene43 < -1.1084881 and DrugA_gene65 >= 0.035720576 and DrugA_gene79 >= 0.52607036 and DrugA_gene354 >= 0.4071563 and DrugA_gene418 < 0.32677066 and DrugA_gene447 >= 0.41165662 and DrugA_gene452 >= -0.32503903 and DrugA_gene636 >= 1.9965724 and DrugA_gene860 >= -1.1236975 and DrugB_gene30 >= 1.913878 and DrugB_gene140 >= 5.279107 and DrugB_gene251 < -1.473485 and DrugB_gene418 >= 0.6664337 and DrugB_gene636 < -0.4625501 and DrugB_gene860 >= -0.7649989 and GO:0030890 >= 200.89609 and then value = 2.604256856,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene43 >= 2.4413056 and DrugA_gene950 < -0.33110988 and DrugB_gene79 >= -0.96028256 and DrugB_gene251 >= 4.7296247 and DrugB_gene418 >= 1.8682462 and DrugB_gene465 < -2.599411 and DrugB_gene860 >= 0.62929034 and then value = 0.48090022899999996,None
9,if DrugA_gene65 < -1.888737 and DrugA_gene354 >= 0.4071563 and DrugA_gene418 < 0.32677066 and DrugB_gene30 >= 1.913878 and DrugB_gene354 >= 0.2749357 and DrugB_gene860 < -0.6768199 and GO:0030890 >= 200.89609 and then value = 1.0348770250000001,None
10,if DrugA_gene33 < -1.1803282 and DrugA_gene43 < -0.041049566 and DrugA_gene65 >= 0.035720576 and DrugA_gene79 >= 0.52607036 and DrugA_gene140 < -0.8192949 and DrugA_gene251 >= 5.3211 and DrugA_gene254 < -0.4321355 and DrugA_gene354 >= 0.4071563 and DrugA_gene418 < 0.32677066 and DrugA_gene427 >= 0.15373395 and DrugA_gene452 >= 0.12460843 and DrugA_gene829 >= 0.11690644 and DrugA_gene860 >= -1.1092863 and DrugA_gene950 < -0.3017971 and DrugB_gene30 >= 1.913878 and DrugB_gene65 < -2.5963755 and DrugB_gene79 < -2.8181896 and DrugB_gene140 >= 5.279107 and DrugB_gene251 >= 0.984163 and DrugB_gene254 >= 0.40268242 and DrugB_gene418 < -0.12126234 and DrugB_gene447 < 0.057608224 and DrugB_gene636 < -0.4625501 and DrugB_gene829 >= 1.4540222 and DrugB_gene860 >= -0.014536647 and DrugB_gene950 >= 0.24120384 and then value = 13.544487531,None
11,None,None
12,None,None
13,None,None
