,0,1
0,None,None
1,None,None
2,if DrugA_gene38 >= 0.5653653 and DrugA_gene154 >= -0.11715424 and DrugA_gene202 >= 1.1033037 and DrugA_gene245 >= 0.1083771 and DrugA_gene279 >= 0.6217358 and DrugA_gene441 < 0.5335386 and DrugA_gene667 >= 2.5921462 and DrugB_gene38 >= -0.7608613 and DrugB_gene202 < 0.1063987 and DrugB_gene431 >= 0.058208674 and DrugB_gene442 < -0.1611864 and DrugB_gene667 >= 0.11054933 and then value = 12.909637317,None
3,None,None
4,None,None
5,None,None
6,None,None
7,if DrugA_gene140 < 0.14336309 and DrugA_gene154 >= -0.045600988 and DrugA_gene172 < -0.28402978 and DrugA_gene251 < -0.14229497 and DrugA_gene279 < -1.754778 and DrugA_gene441 < 0.50083697 and DrugB_gene140 >= 0.21038961 and DrugB_gene168 < -0.40629432 and DrugB_gene202 >= 0.1063987 and DrugB_gene228 >= 0.77637243 and DrugB_gene251 >= 0.95995104 and DrugB_gene315 >= 1.081617 and DrugB_gene431 >= 0.2432078 and DrugB_gene441 >= 1.217945 and DrugB_gene470 < -0.29023457 and DrugB_gene667 < -0.5522068 and then value = 7.25959144,None
8,if DrugA_gene154 >= 1.9294574 and DrugA_gene279 < -0.85149115 and DrugA_gene315 < -0.21375522 and DrugA_gene439 < -0.13411756 and DrugB_gene38 >= 0.7736968 and DrugB_gene140 >= 0.14336309 and DrugB_gene154 < -0.11837988 and DrugB_gene168 < -0.6189178 and DrugB_gene228 >= 1.7866262 and DrugB_gene315 >= 0.6875868 and DrugB_gene442 < -0.78944623 and then value = 1.4140370575999999,None
9,None,None
10,if DrugA_gene38 < -0.21244723 and DrugA_gene140 < -0.30209517 and DrugA_gene154 >= 0.06599021 and DrugA_gene172 >= 2.8519402 and DrugA_gene195 < -0.7581985 and DrugA_gene228 < -0.9651973 and DrugA_gene251 < 0.104114056 and DrugA_gene279 < -1.3160427 and DrugA_gene470 < -0.73390466 and DrugA_gene667 < -0.88605845 and DrugB_gene154 < -0.1748372 and DrugB_gene169 >= 1.1879063 and DrugB_gene172 >= -0.5109443 and DrugB_gene202 < -0.29111028 and DrugB_gene215 >= 0.47612613 and DrugB_gene315 >= 0.6875868 and DrugB_gene431 >= 2.4859338 and DrugB_gene439 >= 0.13599992 and DrugB_gene441 < 0.41092423 and DrugB_gene470 >= 0.1821355 and then value = 18.12651113826,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene140 >= 4.3810024 and DrugA_gene215 < -0.5943676 and DrugA_gene279 < -1.1021407 and DrugA_gene470 < -0.7839325 and DrugB_gene38 >= 0.7736968 and DrugB_gene168 < -0.6189178 and DrugB_gene228 < 2.0815125 and DrugB_gene315 >= -0.5804968 and DrugB_gene442 >= 3.176354 and then value = 10.130041112,None
