,0,1
0,None,None
1,None,None
2,if DrugA_gene11 < 0.37766147 and DrugA_gene21 >= 0.3428988 and DrugA_gene38 < -0.8043984 and DrugA_gene52 < -0.24295071 and DrugA_gene55 >= 0.3155359 and DrugA_gene66 >= 0.27227953 and DrugA_gene91 < 0.14359652 and DrugA_gene95 < -0.3382432 and DrugA_gene129 < -1.2744871 and DrugA_gene131 < 0.26275674 and DrugA_gene143 >= -0.0049408 and DrugA_gene148 >= 0.40425527 and DrugA_gene154 >= -0.09314449 and DrugA_gene155 >= 0.73131275 and DrugA_gene169 < 0.76518536 and DrugA_gene210 >= 1.6018243 and DrugA_gene251 < 0.10300742 and DrugA_gene321 < -5.074562 and DrugA_gene322 >= 1.2814822 and DrugA_gene336 >= 0.37703574 and DrugA_gene353 < -0.1905776 and DrugA_gene408 >= 0.6238014 and DrugA_gene418 < -0.37173334 and DrugA_gene467 < -0.52259123 and DrugA_gene505 < -0.22185805 and DrugA_gene515 < -0.17676699 and DrugA_gene521 >= 0.11971671 and DrugA_gene546 < 0.3325928 and DrugA_gene572 >= 0.74299467 and DrugA_gene660 >= 0.5624124 and DrugA_gene707 < -0.09720692 and DrugA_gene849 >= -0.07488255 and DrugA_gene952 < -0.38837588 and DrugB_gene55 >= -0.3698197 and DrugB_gene91 >= 0.024063412 and DrugB_gene129 < -2.2709308 and DrugB_gene131 < -0.71998775 and DrugB_gene132 >= 0.12541738 and DrugB_gene154 < 0.109431155 and DrugB_gene162 >= -0.36496833 and DrugB_gene185 < -0.6301813 and DrugB_gene194 < -0.58959997 and DrugB_gene251 < -0.8732233 and DrugB_gene309 >= -0.009444868 and DrugB_gene322 >= 0.7972225 and DrugB_gene336 >= 0.6363648 and DrugB_gene339 < -0.66531587 and DrugB_gene370 < -0.8590375 and DrugB_gene400 >= 0.3048767 and DrugB_gene408 < -0.063971385 and DrugB_gene418 >= 0.16135083 and DrugB_gene467 < 0.33228776 and DrugB_gene546 >= 0.3475322 and DrugB_gene548 >= 0.13180439 and DrugB_gene572 >= 2.1839194 and DrugB_gene660 < 0.509575 and DrugB_gene695 >= 0.6252731 and DrugB_gene849 >= 0.7376431 and DrugB_gene886 >= 0.70027053 and GO:0044344 < -43.817196 and GO:0071364 < -48.091393 and compress_node_level_boost_feature_0 < -44.09813 and then value = 5.253364872699998,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene11 < 0.18830113 and DrugA_gene21 < -0.1936343 and DrugA_gene66 >= 1.4561903 and DrugA_gene94 >= -0.3742094 and DrugA_gene154 >= 0.06814592 and DrugA_gene279 < -1.1021407 and DrugA_gene322 < -2.4787712 and DrugA_gene353 < -0.66393167 and DrugA_gene400 >= 0.6397918 and DrugA_gene548 >= 0.05213505 and DrugB_gene11 >= -0.02809386 and DrugB_gene38 < -7.5811825 and DrugB_gene154 < -0.1748372 and DrugB_gene158 < -0.05637157 and DrugB_gene309 >= 1.1363591 and DrugB_gene322 >= -2.4787712 and DrugB_gene339 >= -0.013369368 and GO:0044344 >= 233.18051 and GO:0071560 >= 186.40936 and GO:0071364 >= 19.001852 and compress_node_level_boost_feature_0 >= 30.037655 and compress_LAYER_level_boost_feature_1 >= 32.04689 and then value = 3.5400613413999995,None
9,None,None
