,0,1
0,None,None
1,None,None
2,if DrugA_gene23 < -0.2803492 and DrugA_gene107 >= -0.0039183586 and DrugA_gene129 >= -0.017667064 and DrugA_gene181 < -0.16379964 and DrugA_gene281 < -0.26265436 and DrugA_gene467 < -0.05778078 and DrugB_gene23 >= 1.066499 and DrugB_gene38 >= -0.24379623 and DrugB_gene131 < -0.51694554 and DrugB_gene181 >= 3.9374795 and DrugB_gene185 >= -0.55445397 and DrugB_gene323 >= 0.045984324 and DrugB_gene415 >= 0.09509094 and DrugB_gene515 < -0.2542786 and DrugB_gene877 < -0.7385888 and DrugB_gene891 >= 0.8556337 and then value = 9.2176326843,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene23 < -1.3116276 and DrugA_gene129 >= 0.07797949 and DrugA_gene131 < 0.24612418 and DrugA_gene158 < -0.17656097 and DrugA_gene181 < -0.16379964 and DrugA_gene281 < -0.26265436 and DrugA_gene415 < 0.08524862 and DrugA_gene467 < -0.05778078 and DrugB_gene107 >= 2.8214054 and DrugB_gene158 < 0.14652926 and DrugB_gene213 < -0.30091625 and DrugB_gene281 < 0.095586665 and DrugB_gene467 < 0.4728411 and DrugB_gene515 < -0.2542786 and DrugB_gene849 < -0.47358972 and DrugB_gene877 < -0.21401441 and then value = 1.6263939173000002,None
9,None,None
10,if DrugA_gene23 < -0.31032243 and DrugA_gene107 < -0.84056246 and DrugA_gene131 < 0.24612418 and DrugA_gene181 >= 2.6608868 and DrugA_gene185 < 0.09701195 and DrugA_gene213 >= 1.5761187 and DrugA_gene281 < 0.006744485 and DrugA_gene296 >= 0.26533848 and DrugA_gene415 < -0.17034428 and DrugA_gene467 >= 2.7613924 and DrugA_gene515 < -0.26920673 and DrugB_gene23 >= 0.9588917 and DrugB_gene38 < -0.76608133 and DrugB_gene107 >= 2.8214054 and DrugB_gene129 >= -0.10415186 and DrugB_gene181 < -0.92539024 and DrugB_gene185 < -0.3930511 and DrugB_gene213 < -0.30091625 and DrugB_gene296 < -0.73150957 and DrugB_gene415 >= 2.1788163 and DrugB_gene467 < 0.4728411 and DrugB_gene877 < -3.2831078 and then value = 21.147664705,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene23 < 0.42224598 and DrugA_gene38 >= 0.13186319 and DrugA_gene107 >= 0.6898405 and DrugA_gene131 < 0.119504556 and DrugA_gene158 >= 0.3238967 and DrugA_gene181 < -0.16379964 and DrugA_gene213 < 0.23012713 and DrugA_gene281 < -0.26265436 and DrugA_gene323 < -0.032366134 and DrugA_gene415 < -0.17034428 and DrugA_gene467 < -0.05778078 and DrugB_gene129 >= -0.10977551 and DrugB_gene131 < 0.35207355 and DrugB_gene158 < -0.23081541 and DrugB_gene181 < -1.2517934 and DrugB_gene185 >= 0.45272416 and DrugB_gene213 < -0.22913429 and DrugB_gene415 >= 2.1788163 and DrugB_gene467 < 0.76428103 and DrugB_gene515 < -0.2542786 and DrugB_gene849 < -0.36879277 and then value = 16.912458920040002,None
