,0,1
0,None,None
1,None,None
2,if DrugA_gene99 < 0.17046902 and DrugA_gene194 < -0.2627682 and DrugA_gene374 >= 1.9964097 and DrugA_gene532 < 0.46263072 and DrugB_gene194 >= 0.20710078 and DrugB_gene215 >= -0.47813624 and DrugB_gene481 >= 1.1579376 and DrugB_gene499 >= 0.36092868 and DrugB_gene532 >= 0.33556724 and DrugB_gene728 >= 0.14463137 and then value = 32.423098440000004,None
3,None,None
4,if DrugA_gene99 < -0.19861461 and DrugA_gene374 >= 1.9964097 and DrugA_gene481 < 0.5051553 and DrugA_gene532 < -0.3283238 and DrugB_gene99 >= 0.9011593 and DrugB_gene132 >= 0.10756689 and DrugB_gene194 >= 0.20710078 and DrugB_gene215 < -2.535468 and DrugB_gene481 >= 0.48170337 and DrugB_gene499 < -1.1100671 and DrugB_gene532 >= 0.51484585 and then value = 5.0842445845999995,None
5,None,None
6,None,None
7,None,None
8,None,None
9,None,None
10,if DrugA_gene99 < -0.19861461 and DrugA_gene194 < 0.046423122 and DrugA_gene215 >= 0.56306535 and DrugA_gene373 < 0.12581 and DrugA_gene374 < -0.06483194 and DrugA_gene481 < 0.31531483 and DrugA_gene499 < 0.22077706 and DrugA_gene532 < -0.3283238 and DrugB_gene99 < 0.9011593 and DrugB_gene170 >= 1.809726 and DrugB_gene194 >= 0.228398 and DrugB_gene215 < -2.535468 and DrugB_gene373 < -0.35631585 and DrugB_gene374 >= 1.377495 and DrugB_gene481 >= 0.7296046 and DrugB_gene499 >= 0.35613889 and DrugB_gene532 >= 0.51484585 and DrugB_gene728 < -0.98514616 and then value = 38.3135243516,None
11,None,None
12,None,None
13,if DrugA_gene99 < -0.19861461 and DrugA_gene132 >= 3.5368989 and DrugA_gene170 < -0.29778913 and DrugA_gene481 < -0.46000242 and DrugA_gene499 < 0.53935206 and DrugA_gene532 < -0.3283238 and DrugB_gene170 < 0.4295956 and DrugB_gene215 < -2.535468 and DrugB_gene373 >= 1.787606 and DrugB_gene532 >= -0.3014875 and then value = 0.8652312346,None
14,if DrugA_gene99 >= 0.30972615 and DrugA_gene194 < 0.05132075 and DrugA_gene215 < -2.7521696 and DrugA_gene373 < 0.13761029 and DrugA_gene374 >= 4.5928473 and DrugA_gene499 < -0.74269104 and DrugB_gene132 < -0.2579857 and DrugB_gene170 < 1.7689543 and DrugB_gene194 >= 0.96283805 and DrugB_gene215 >= -0.5943676 and DrugB_gene373 >= 0.4662031 and DrugB_gene374 >= 1.4860125 and DrugB_gene481 >= 0.7296046 and DrugB_gene499 >= 0.35613889 and DrugB_gene532 >= 0.36686844 and then value = 36.761164302999994,None
15,if DrugA_gene132 >= 0.8742963 and DrugA_gene194 < 0.05132075 and DrugA_gene215 < -0.11720013 and DrugA_gene481 < 0.12935168 and DrugA_gene532 < -0.62116516 and DrugB_gene215 >= -0.31632555 and DrugB_gene373 < -0.17205994 and DrugB_gene374 < -0.12197401 and DrugB_gene728 >= 0.07923399 and then value = 28.41281205,None
16,None,None
17,None,None
18,None,None
19,None,None
20,None,None
21,None,None
22,None,None
23,None,None
