,0,1
0,None,None
1,None,None
2,if DrugA_gene9 < -2.5575385 and DrugA_gene33 < -0.09916835 and DrugA_gene210 < -0.25289285 and DrugA_gene241 >= 1.561429 and DrugA_gene277 >= 0.09004998 and DrugA_gene349 < -0.10814065 and DrugA_gene415 < 0.8700955 and DrugA_gene554 < -0.076178454 and DrugB_gene33 < -1.4177496 and DrugB_gene210 >= 2.2455187 and DrugB_gene277 < 0.013484845 and DrugB_gene279 >= -0.20084992 and DrugB_gene363 >= -0.095416345 and DrugB_gene372 < 0.0056203157 and DrugB_gene415 >= -0.17234728 and DrugB_gene445 < -0.5907314 and DrugB_gene695 >= -0.27724427 and DrugB_gene839 < -0.034299523 and then value = 5.128144455999999,None
3,None,None
4,if DrugA_gene148 < -3.04473 and DrugA_gene210 >= 2.5203202 and DrugA_gene279 < -0.8919159 and DrugA_gene554 >= 0.40060246 and DrugB_gene241 < 0.7889639 and DrugB_gene279 < -2.1369305 and DrugB_gene372 < -1.059565 and compress_LAYER_level_boost_feature_0 >= 128.93262 and then value = 0.05769988823,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene74 < -0.307734 and DrugA_gene168 < 0.0661489 and DrugA_gene277 >= 0.41610372 and DrugA_gene349 >= 4.729761 and DrugA_gene445 < -0.087268874 and DrugB_gene9 < -1.1157465 and DrugB_gene148 >= 0.16732362 and DrugB_gene151 < -1.5100777 and DrugB_gene279 >= -0.24887538 and DrugB_gene363 >= 4.182525 and then value = 1.328495967,None
9,None,None
10,if DrugA_gene9 < 0.37329072 and DrugA_gene33 < 0.08824958 and DrugA_gene74 < -0.307734 and DrugA_gene148 < -1.4648795 and DrugA_gene151 < -0.54052484 and DrugA_gene168 < 0.3099985 and DrugA_gene210 < -0.3357709 and DrugA_gene277 >= -0.13283364 and DrugA_gene349 >= 4.729761 and DrugA_gene363 >= 0.34871018 and DrugA_gene415 < 0.8590858 and DrugA_gene839 < -2.0119066 and DrugB_gene9 < -0.17470282 and DrugB_gene31 < -0.049995553 and DrugB_gene33 < -1.2478628 and DrugB_gene210 >= 2.2455187 and DrugB_gene241 < 0.32882145 and DrugB_gene277 < 0.027768355 and DrugB_gene279 < -1.4395454 and DrugB_gene349 < -0.43498215 and DrugB_gene363 >= 4.182525 and DrugB_gene415 < 0.29275295 and DrugB_gene445 >= 0.61467177 and DrugB_gene447 >= 1.0300775 and DrugB_gene554 < -0.72830427 and DrugB_gene695 >= 0.75076115 and DrugB_gene839 < -0.7179568 and then value = 8.867527642999999,None
11,None,None
12,None,None
13,None,None
