,0,1
0,None,None
1,None,None
2,if DrugA_gene55 >= 0.19423439 and DrugA_gene59 < 0.20924683 and DrugA_gene80 >= 0.42480466 and DrugA_gene91 < -0.66707766 and DrugA_gene94 < -0.9156783 and DrugA_gene97 < -0.0006713576 and DrugA_gene106 >= 0.31384674 and DrugA_gene129 < -0.52915955 and DrugA_gene162 >= -0.4638693 and DrugA_gene176 >= 2.3720307 and DrugA_gene193 >= -0.23443694 and DrugA_gene213 < -0.03376147 and DrugA_gene269 < -0.014157426 and DrugA_gene350 < -0.55191004 and DrugA_gene417 >= 0.40982157 and DrugA_gene513 < -0.84121287 and DrugA_gene514 < -0.27091447 and DrugB_gene80 >= 2.350095 and DrugB_gene91 >= 0.102609 and DrugB_gene93 < -0.5362767 and DrugB_gene94 >= -0.19638726 and DrugB_gene97 < 0.005397722 and DrugB_gene106 < -2.4741838 and DrugB_gene129 < 0.05162244 and DrugB_gene162 >= 0.2641247 and DrugB_gene213 < -0.3178738 and DrugB_gene244 < -0.069157615 and DrugB_gene269 >= 1.7511506 and DrugB_gene358 < 0.01813981 and DrugB_gene418 >= 0.45560735 and DrugB_gene514 >= 0.37991792 and GO:0071375 < 2.57303 and compress_node_level_boost_feature_0 < -24.204975 and then value = 6.769339833369999,None
3,None,None
4,if DrugA_gene80 >= -0.38938046 and DrugA_gene94 >= -0.258755 and DrugA_gene129 >= -0.073750794 and DrugA_gene162 >= -0.39031732 and DrugA_gene513 >= 0.9604709 and DrugB_gene129 >= 0.40309823 and DrugB_gene244 >= 0.019155035 and DrugB_gene330 >= 0.2999931 and DrugB_gene350 >= 0.06386873 and DrugB_gene418 < -0.10220356 and GO:0032868 < -22.164356 and GO:0071375 >= 4.432065 and then value = 1.238455441,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene59 < -0.0060874387 and DrugA_gene80 >= -0.3978273 and DrugA_gene91 < 0.10042028 and DrugA_gene93 >= 0.0076056807 and DrugA_gene94 < -3.3725104 and DrugA_gene129 >= 0.27177703 and DrugA_gene132 < 0.15510955 and DrugA_gene193 >= 0.30690002 and DrugA_gene269 < -0.17011684 and DrugA_gene331 >= 0.3134793 and DrugA_gene349 < 0.41628313 and DrugA_gene358 < 0.5555829 and DrugB_gene59 >= 0.98954344 and DrugB_gene80 < -0.33353668 and DrugB_gene93 < -0.5337048 and DrugB_gene97 < -0.31441283 and DrugB_gene129 >= 0.2995466 and DrugB_gene132 < 0.120261356 and DrugB_gene181 < 0.3144564 and DrugB_gene244 < -0.8820597 and DrugB_gene330 >= 0.26253307 and DrugB_gene418 >= 0.5753343 and DrugB_gene513 < -0.3252064 and GO:0032868 >= 4.299223 and GO:0071375 >= 8.814692 and then value = 3.8897741071999996,None
9,None,None
