,0,1
0,None,None
1,None,None
2,if DrugA_gene9 < 0.48189503 and DrugA_gene21 < -0.04138615 and DrugA_gene59 < 0.1963203 and DrugA_gene93 >= 0.7720753 and DrugA_gene94 >= 1.0014828 and DrugA_gene97 >= 0.47945833 and DrugA_gene129 >= 0.26065713 and DrugA_gene158 < 0.031093124 and DrugA_gene162 >= -0.36979598 and DrugA_gene213 < 0.14590988 and DrugA_gene218 >= 3.1903887 and DrugA_gene269 < -1.5870343 and DrugA_gene339 < -0.12198311 and DrugA_gene350 >= -0.24606612 and DrugA_gene358 < -0.34574056 and DrugA_gene417 >= 0.5291649 and DrugA_gene418 < 0.29231745 and DrugA_gene447 < -0.29194853 and DrugA_gene514 < -0.17286068 and DrugA_gene523 < -0.3360861 and DrugA_gene817 < -0.07354465 and DrugA_gene900 >= 0.18815526 and DrugB_gene9 >= 0.6774887 and DrugB_gene21 >= 0.36764896 and DrugB_gene93 < -0.33846724 and DrugB_gene94 >= 0.9183357 and DrugB_gene97 < -0.26120555 and DrugB_gene129 < 0.08309306 and DrugB_gene162 >= -0.0020295952 and DrugB_gene181 >= 0.5615685 and DrugB_gene269 >= -0.006905042 and DrugB_gene331 < 0.22407962 and DrugB_gene339 >= 0.70796597 and DrugB_gene350 < -0.7733071 and DrugB_gene358 < 0.11702153 and DrugB_gene418 >= 0.16135083 and DrugB_gene447 >= 3.2767932 and DrugB_gene451 >= 0.3802885 and DrugB_gene514 >= 0.083906844 and DrugB_gene523 >= 2.9561322 and DrugB_gene540 >= 1.5718743 and DrugB_gene817 >= 3.5802479 and DrugB_gene900 >= -0.1553567 and GO:1904646 < 3.054773 and GO:0071375 < -28.32378 and compress_node_level_boost_feature_0 < -5.561283 and then value = 6.250462727600001,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene9 < 0.43277422 and DrugA_gene21 < -0.15827356 and DrugA_gene330 >= 0.44408286 and DrugA_gene339 < -0.1607708 and DrugB_gene8 < -3.6219726 and DrugB_gene97 < 0.38346508 and DrugB_gene213 < 0.25440258 and DrugB_gene358 < 1.1291189 and GO:1904646 >= 118.71138 and GO:0071375 < -0.70866096 and compress_node_level_boost_feature_0 >= 148.26303 and compress_LAYER_level_boost_feature_0 >= 80.84777 and then value = 3.1946600372,None
9,None,None
