,0,1
0,None,None
1,None,None
2,if DrugA_gene13 < -0.20291913 and DrugA_gene23 >= 0.91454315 and DrugA_gene196 < 0.10806048 and DrugA_gene199 < 0.25470036 and DrugA_gene301 < 0.41890055 and DrugA_gene302 < -2.7738757 and DrugA_gene303 < -0.123239286 and DrugA_gene477 < 0.072478116 and DrugA_gene501 < -0.31473392 and DrugA_gene615 >= 0.35936916 and DrugA_gene792 >= 1.6289263 and DrugA_gene931 >= -0.4542628 and DrugB_gene5 < 0.15746835 and DrugB_gene13 < -1.1937268 and DrugB_gene14 < 0.04017069 and DrugB_gene23 < -0.83288753 and DrugB_gene116 < 0.2937 and DrugB_gene167 >= 0.9649404 and DrugB_gene199 >= 1.0429906 and DrugB_gene204 >= -0.07562144 and DrugB_gene280 >= 0.4779161 and DrugB_gene302 >= 0.58457446 and DrugB_gene303 < -0.9004605 and DrugB_gene477 < 0.32483828 and DrugB_gene501 < -0.97735643 and DrugB_gene615 >= 0.37200767 and DrugB_gene834 < -1.3306057 and DrugB_gene842 < -0.077924095 and DrugB_gene931 < -0.53702134 and then value = 4.660238704999999,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene14 >= -0.1967926 and DrugA_gene23 < 0.47672316 and DrugA_gene30 < -2.0284114 and DrugA_gene116 >= -0.3040895 and DrugA_gene615 >= 2.19655 and DrugB_gene30 < 2.0679734 and DrugB_gene116 >= 0.43795025 and DrugB_gene199 >= 1.7812477 and DrugB_gene280 >= -0.5558444 and DrugB_gene303 < -0.48214835 and DrugB_gene761 < 2.9963112 and DrugB_gene834 < -0.30932176 and GO:0009152 >= 167.28128 and compress_LAYER_level_boost_feature_0 >= 84.50115 and then value = 3.8993650517000003,None
9,None,None
10,if DrugA_gene23 < 0.47672316 and DrugA_gene116 >= 0.35010874 and DrugA_gene167 >= 0.119788975 and DrugA_gene196 >= 0.42806005 and DrugA_gene199 < -0.39876723 and DrugA_gene200 < -0.70992416 and DrugA_gene204 >= -0.22941992 and DrugA_gene303 < -0.50822043 and DrugA_gene501 < -0.9466415 and DrugA_gene615 < -0.9645754 and DrugA_gene647 < -0.2141586 and DrugA_gene761 < -0.5810033 and DrugA_gene774 < -0.78638613 and DrugA_gene792 >= 1.586947 and DrugA_gene842 >= 3.006788 and DrugA_gene931 >= 0.52307355 and DrugB_gene13 < -1.82745 and DrugB_gene14 >= 0.067658074 and DrugB_gene23 < 0.19447145 and DrugB_gene30 < 0.43869597 and DrugB_gene116 >= 0.2937 and DrugB_gene167 < -0.31976855 and DrugB_gene199 >= 2.3489232 and DrugB_gene200 < -0.5097705 and DrugB_gene280 >= 0.14313632 and DrugB_gene301 >= -0.007924601 and DrugB_gene303 >= 0.7491183 and DrugB_gene477 < -0.5215564 and DrugB_gene501 >= 3.2036095 and DrugB_gene647 < 0.2974356 and DrugB_gene774 < -1.292801 and DrugB_gene792 >= 1.6289263 and DrugB_gene834 < -0.055040136 and DrugB_gene842 >= -0.09541052 and DrugB_gene916 < 0.085678026 and DrugB_gene931 >= 0.22285655 and GO:0009152 >= 167.28128 and then value = 8.372329738,None
11,None,None
12,None,None
13,None,None
