,0,1
0,None,None
1,None,None
2,if DrugA_gene32 < 0.41057074 and DrugA_gene149 < 0.12877703 and DrugA_gene264 >= 0.84374046 and DrugA_gene266 < -0.47339082 and DrugA_gene306 >= 0.39755476 and DrugA_gene346 < 0.43376294 and DrugA_gene373 < -0.43759367 and DrugA_gene600 < -0.5087926 and DrugA_gene631 >= 0.29023755 and DrugA_gene637 >= 0.15335847 and DrugA_gene692 >= 0.54261446 and DrugA_gene747 < -0.0698429 and DrugA_gene930 < -0.32111776 and DrugB_gene7 < -0.31000137 and DrugB_gene157 >= -0.56751513 and DrugB_gene264 < 0.35980198 and DrugB_gene356 < -2.4432151 and DrugB_gene473 >= 0.25418562 and DrugB_gene521 >= 0.44229734 and DrugB_gene692 < -4.5938935 and DrugB_gene757 >= -0.41328704 and DrugB_gene928 < -0.21320996 and GO:0043687 >= 10.898582 and GO:0018193 >= 60.608345 and GO:0006468 < -15.625779 and GO:0070647 < -49.114502 and GO:0035335 < 8.785622 and compress_node_level_boost_feature_0 >= 36.72048 and compress_LAYER_level_boost_feature_1 < 5.0247965 and then value = 6.2829479706999996,None
3,None,None
4,if DrugA_gene7 >= -0.47817135 and DrugA_gene310 < -0.081740275 and DrugA_gene354 < -1.2728124 and DrugA_gene692 < -4.5938935 and DrugA_gene693 >= 0.9022554 and DrugA_gene747 >= 2.5111098 and DrugB_gene266 >= 0.4867096 and DrugB_gene355 >= -0.13663828 and DrugB_gene373 >= 0.19585824 and DrugB_gene754 < -0.89897025 and GO:0043687 < -1.7234185 and GO:0016570 < -3.89635 and GO:0018193 >= 151.57782 and compress_LAYER_level_boost_feature_0 < -3.8186612 and then value = 0.473839568,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene48 >= 0.6566 and DrugA_gene298 >= -0.268931 and DrugA_gene331 < 0.11221601 and DrugA_gene479 >= 0.43413338 and DrugA_gene591 < -0.40074497 and DrugA_gene745 >= 0.36161834 and DrugA_gene914 < 0.08681914 and DrugB_gene75 >= -0.992213 and DrugB_gene325 >= 2.5336432 and DrugB_gene331 < 0.048753817 and DrugB_gene480 < 0.3501629 and DrugB_gene692 < -4.5938935 and DrugB_gene807 >= 0.028907053 and DrugB_gene908 < -0.756203 and GO:0043687 >= 98.41217 and GO:0018193 < -7.456908 and compress_LAYER_level_boost_feature_0 < -7.045974 and then value = 2.464852873,None
9,None,None
10,if DrugA_gene59 < 0.20973021 and DrugA_gene556 < -0.040000744 and DrugA_gene692 >= 0.54261446 and DrugA_gene693 >= 0.5784563 and DrugA_gene757 < -0.7345583 and DrugB_gene56 >= -0.12842223 and DrugB_gene78 < -8.564323 and DrugB_gene306 < -0.53355837 and DrugB_gene328 >= 0.564914 and DrugB_gene356 < -2.4432151 and DrugB_gene473 >= 0.5857603 and DrugB_gene519 >= 0.07129665 and DrugB_gene692 < -4.5938935 and DrugB_gene851 < -0.18318352 and GO:0043687 >= 9.869593 and GO:0006468 < -15.625779 and GO:0070647 < -49.114502 and GO:0006486 < 12.225306 and GO:0035335 < 8.785622 and then value = 7.2385815777,None
11,None,None
12,None,None
