,0,1
0,None,None
1,None,None
2,if DrugA_gene23 < 0.40592918 and DrugA_gene368 >= 0.61246216 and DrugA_gene415 >= 2.1788163 and DrugA_gene505 < -0.04065069 and DrugA_gene576 >= 2.5749152 and DrugA_gene593 >= 0.3675298 and DrugA_gene742 < -0.7873856 and DrugA_gene763 >= 0.506581 and DrugB_gene334 >= 1.1146395 and DrugB_gene368 < -0.25249672 and DrugB_gene415 >= -0.20738633 and DrugB_gene489 < 0.07835661 and DrugB_gene505 < 0.14126647 and DrugB_gene593 >= 0.0442897 and DrugB_gene763 >= 0.11400825 and then value = 9.882600323,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene368 < -3.3690443 and DrugA_gene576 >= 0.5303834 and DrugA_gene742 >= -0.083579324 and DrugA_gene763 < -0.11614435 and DrugB_gene368 >= -1.9066913 and DrugB_gene593 >= 0.0442897 and then value = 5.398423695999999,None
9,None,None
10,if DrugA_gene334 < -0.20463242 and DrugA_gene505 < -0.127797 and DrugA_gene576 < -1.9942883 and DrugA_gene742 >= 0.061661914 and DrugA_gene763 < -0.08952532 and DrugB_gene23 < 0.20416293 and DrugB_gene334 >= 2.0788894 and DrugB_gene368 < 0.1575402 and DrugB_gene415 < 0.82213545 and DrugB_gene593 < 0.12463309 and DrugB_gene742 < -0.8021934 and DrugB_gene763 < -0.6344958 and then value = 17.583705529000003,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene368 < -4.2816 and DrugA_gene505 < -1.536725 and DrugA_gene593 >= 0.53935534 and DrugA_gene742 >= 0.09112966 and DrugA_gene763 < -0.11617662 and DrugB_gene23 >= 1.1135343 and DrugB_gene334 >= 1.8533505 and DrugB_gene415 >= 0.09509094 and DrugB_gene489 >= 0.07835661 and DrugB_gene505 < -1.3721421 and DrugB_gene593 >= 0.0442897 and then value = 25.619436506999996,None
15,if DrugA_gene23 < 0.40592918 and DrugA_gene334 < -0.37994325 and DrugA_gene368 >= 0.61246216 and DrugA_gene415 < -0.17034428 and DrugA_gene489 < 0.1331343 and DrugA_gene505 < -0.026178911 and DrugA_gene576 < -0.2432345 and DrugA_gene593 >= 0.5515366 and DrugA_gene742 < -0.37430334 and DrugA_gene763 >= 0.5880351 and DrugB_gene23 >= 0.2042137 and DrugB_gene334 >= 1.1146395 and DrugB_gene368 < 0.5357625 and DrugB_gene415 >= 0.41468036 and DrugB_gene505 >= 1.9439368 and DrugB_gene576 >= 0.9392865 and DrugB_gene763 >= 0.7551513 and then value = 22.525757888,None
16,None,None
17,None,None
18,None,None
19,None,None
20,None,None
21,None,None
22,None,None
23,None,None
24,if DrugA_gene23 < 0.40592918 and DrugA_gene334 < -0.46416163 and DrugA_gene368 >= 0.5791851 and DrugA_gene505 >= 1.725812 and DrugB_gene23 < 0.44346875 and DrugB_gene334 >= 1.1146395 and DrugB_gene368 >= -0.25249672 and then value = 0.2870936966,None
