,0,1
0,None,None
1,None,None
2,if DrugA_gene60 >= 0.39672503 and DrugA_gene278 < -0.1916149 and DrugB_gene60 >= 0.02201023 and DrugB_gene848 < -0.009506872 and DrugB_gene856 >= 0.09939256 and GO:0051254 < -48.88903 and then value = 2.784467455,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene42 >= 0.14624533 and DrugA_gene331 >= 0.33312774 and DrugA_gene401 < 0.14933231 and DrugA_gene467 < 0.16415009 and DrugA_gene523 < -0.031805366 and DrugA_gene696 >= -0.012153667 and DrugB_gene42 < 1.8136842 and DrugB_gene60 >= -0.36854786 and DrugB_gene209 < -0.019456074 and DrugB_gene401 >= -0.53922474 and DrugB_gene848 < -0.27872115 and GO:0051254 < -1.1918423 and compress_LAYER_level_boost_feature_0 >= 178.75818 and then value = 2.87779623,None
9,None,None
10,if DrugA_gene31 < -1.5601616 and DrugA_gene42 >= -0.29216045 and DrugA_gene60 < -0.23391916 and DrugA_gene88 >= 1.025713 and DrugA_gene131 < -0.46680364 and DrugA_gene277 >= -0.5497681 and DrugA_gene765 >= -0.58840334 and DrugA_gene850 >= 0.98567355 and DrugA_gene932 >= 0.44499785 and DrugB_gene31 < -0.022085624 and DrugB_gene60 >= 0.4347732 and DrugB_gene65 >= 0.27733183 and DrugB_gene207 >= 0.6785525 and DrugB_gene850 >= 0.8980594 and GO:0051254 < -4.5755906 and then value = 9.1727664085,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene8 >= 0.8748716 and DrugA_gene131 < -0.85918736 and DrugA_gene354 < -0.23724468 and DrugB_gene11 >= 1.7611847 and DrugB_gene88 >= 1.1098254 and DrugB_gene277 >= 2.322265 and DrugB_gene354 >= 0.9537761 and DrugB_gene523 < 2.9561322 and DrugB_gene593 >= 0.09473187 and DrugB_gene765 >= 0.006405611 and compress_LAYER_level_boost_feature_1 < 19.946762 and then value = 18.002541526,None
