,0,1
0,None,None
1,None,None
2,if DrugA_gene20 < 0.13413703 and DrugA_gene148 < -1.6046522 and DrugA_gene290 < -0.32005477 and DrugA_gene403 < -0.4188 and DrugA_gene408 >= 0.23612982 and DrugA_gene428 >= 1.18278 and DrugA_gene462 >= -0.040127374 and DrugB_gene148 < -1.9122247 and DrugB_gene209 < -0.035921883 and DrugB_gene251 >= 0.012813188 and DrugB_gene290 < -0.21656638 and DrugB_gene389 < -1.8142471 and DrugB_gene403 >= -0.5696745 and DrugB_gene407 < 0.042604096 and DrugB_gene421 >= 0.4709071 and DrugB_gene422 >= 0.32691538 and DrugB_gene423 < -0.50909555 and DrugB_gene424 < -0.20081729 and then value = 10.30811567,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene20 < -0.88785505 and DrugA_gene251 < -0.24451299 and DrugA_gene330 >= 0.14324865 and DrugA_gene407 < 0.0014750026 and DrugB_gene209 < -0.057534177 and DrugB_gene251 >= 0.012813188 and DrugB_gene407 < 0.042604096 and DrugB_gene422 < -1.4829178 and DrugB_gene424 < -0.20081729 and DrugB_gene462 >= 0.1567044 and then value = 1.9128518161,None
9,None,None
10,if DrugA_gene403 < 0.1711545 and DrugA_gene407 < 0.1917561 and DrugB_gene11 >= 0.2876532 and DrugB_gene20 >= -0.41023704 and DrugB_gene148 >= 0.34214926 and DrugB_gene209 < -0.036832947 and DrugB_gene251 >= 0.009619355 and DrugB_gene330 >= 1.5827347 and DrugB_gene389 < -1.2364328 and DrugB_gene403 >= -0.44286025 and DrugB_gene407 >= 0.042604096 and DrugB_gene408 < -2.0804536 and DrugB_gene421 >= 0.50973094 and DrugB_gene422 >= 0.32201636 and DrugB_gene423 < -0.81594145 and DrugB_gene424 < -0.09392072 and DrugB_gene428 < 0.24560577 and then value = 12.838705453600001,None
11,None,None
12,None,None
13,if DrugA_gene20 < -0.46579093 and DrugA_gene251 < -0.8884975 and DrugA_gene407 < -0.02444373 and DrugA_gene422 < 0.27828592 and DrugA_gene462 >= 0.21674943 and DrugB_gene209 >= -0.057534177 and DrugB_gene330 < -0.4745993 and DrugB_gene389 >= 0.29446888 and DrugB_gene403 < -1.977325 and DrugB_gene422 < -1.4829178 and DrugB_gene424 >= 0.1202721 and DrugB_gene462 >= 0.1567044 and then value = 0.5075479361,None
14,if DrugA_gene20 < 0.13413703 and DrugA_gene148 < -0.0870687 and DrugA_gene389 >= 0.2916541 and DrugA_gene403 < -0.4188 and DrugA_gene408 >= 0.23612982 and DrugA_gene462 >= -0.040127374 and DrugB_gene20 >= -2.1649003 and DrugB_gene209 >= -0.057534177 and DrugB_gene330 >= 0.99080515 and DrugB_gene403 < -0.527193 and DrugB_gene407 >= 0.21138111 and DrugB_gene408 >= -0.1329027 and DrugB_gene422 >= 0.32691538 and DrugB_gene423 < -1.8556404 and DrugB_gene424 < 0.1201565 and DrugB_gene428 >= -0.56221646 and then value = 14.730053439,None
