,0,1
0,None,None
1,None,None
2,if DrugA_gene91 >= 1.0324271 and DrugA_gene119 < 0.12951173 and DrugA_gene146 < -0.92412496 and DrugA_gene149 < 0.31692874 and DrugA_gene181 < 0.19330218 and DrugA_gene417 >= 1.3662032 and DrugA_gene480 >= 1.3188353 and DrugA_gene590 >= -0.06872274 and DrugB_gene30 < -3.2075496 and DrugB_gene32 >= -0.26212257 and DrugB_gene80 >= 0.58098614 and DrugB_gene91 >= -0.44886696 and DrugB_gene146 < -0.14642367 and DrugB_gene299 < -2.8442292 and DrugB_gene417 < -1.0665712 and DrugB_gene418 >= 1.8682462 and DrugB_gene423 < -0.23590457 and DrugB_gene590 < -0.14927432 and then value = 4.4513754222,None
3,None,None
4,if DrugA_gene80 >= 0.7191926 and DrugA_gene131 < 0.107562706 and DrugB_gene30 >= 0.78735256 and DrugB_gene119 >= 2.6514878 and DrugB_gene146 >= 1.0301133 and DrugB_gene149 < -5.042651 and DrugB_gene299 < -0.119043455 and DrugB_gene418 < -1.5279317 and DrugB_gene423 < -2.6834793 and DrugB_gene480 < -0.06549668 and compress_LAYER_level_boost_feature_0 >= 88.60437 and then value = 0.515242852,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene30 >= 0.22886477 and DrugA_gene32 < -0.13073562 and DrugA_gene52 >= 0.31801745 and DrugA_gene55 < -0.24319038 and DrugA_gene80 >= 0.2566304 and DrugA_gene481 < 0.41371596 and DrugA_gene590 < -0.7671009 and DrugB_gene52 >= -0.45586553 and DrugB_gene146 < 1.7406629 and DrugB_gene149 >= 0.8322458 and DrugB_gene481 >= -1.0483074 and then value = 3.7615485349999997,None
9,None,None
10,if DrugA_gene30 < -1.1694268 and DrugA_gene35 < -0.5024203 and DrugA_gene52 < 0.19815597 and DrugA_gene55 < -0.18597078 and DrugA_gene59 < 0.29351562 and DrugA_gene80 < -1.534375 and DrugA_gene131 < 0.107562706 and DrugA_gene146 >= -0.06963618 and DrugA_gene299 >= 1.107122 and DrugA_gene349 < 0.13250048 and DrugA_gene417 < -0.07176286 and DrugA_gene418 < 0.26674205 and DrugA_gene480 >= 0.82001835 and DrugA_gene481 < 0.43732932 and DrugA_gene514 >= 0.18768367 and DrugA_gene515 >= 0.30853727 and DrugB_gene30 < -3.2075496 and DrugB_gene32 >= 0.13424017 and DrugB_gene35 >= 0.04103002 and DrugB_gene52 < -0.9668721 and DrugB_gene55 < 0.05258676 and DrugB_gene80 < -0.031494748 and DrugB_gene91 >= 0.47405636 and DrugB_gene119 >= 0.0033780641 and DrugB_gene131 < 0.051632278 and DrugB_gene146 >= 1.7406629 and DrugB_gene149 < -0.055408068 and DrugB_gene181 >= -0.013799055 and DrugB_gene299 >= 2.5601768 and DrugB_gene417 < -0.3742975 and DrugB_gene418 < -1.5279317 and DrugB_gene423 < 0.08147478 and DrugB_gene480 < -0.20129937 and DrugB_gene481 >= 0.11943531 and DrugB_gene515 >= 1.4049175 and then value = 6.981439730999999,None
11,None,None
12,None,None
13,None,None
