,0,1
0,None,None
1,None,None
2,if DrugA_gene91 < -0.0222605 and DrugA_gene130 >= -0.35385013 and DrugA_gene294 < -4.7053146 and DrugA_gene532 < 0.45980716 and DrugA_gene828 >= -0.7047998 and DrugA_gene850 < -0.38722005 and DrugB_gene18 >= 0.76465 and DrugB_gene59 >= 0.053999994 and DrugB_gene207 < -2.853414 and DrugB_gene294 >= -0.00055308454 and DrugB_gene373 >= 0.8724139 and DrugB_gene859 < 0.14569888 and GO:0045893 >= 219.17944 and then value = 4.998023485,None
3,None,None
4,if DrugA_gene209 < -0.18602368 and DrugA_gene619 < 0.0023949004 and DrugA_gene700 < -0.2457957 and DrugB_gene400 < -0.4067158 and DrugB_gene763 >= 0.52220166 and DrugB_gene932 >= 0.5963931 and GO:0045893 >= 219.17944 and compress_LAYER_level_boost_feature_0 >= 133.05269 and then value = 0.29581711371,None
5,None,None
6,None,None
7,None,None
8,None,None
9,None,None
