,0,1
0,None,None
1,None,None
2,if DrugA_gene39 < 0.019137582 and DrugA_gene40 >= 0.1803324 and DrugA_gene316 >= 0.22661945 and DrugA_gene354 < -0.0455645 and DrugA_gene416 >= 1.083173 and DrugB_gene33 >= 0.124310344 and DrugB_gene40 < -0.34349123 and DrugB_gene316 < 0.3079465 and DrugB_gene317 < -0.16238815 and DrugB_gene354 >= 0.2611685 and DrugB_gene416 >= 0.57373154 and DrugB_gene849 >= 0.22807229 and DrugB_gene869 >= 2.6075616 and then value = 9.503213619199999,None
3,None,None
4,if DrugA_gene33 < 0.4057866 and DrugA_gene39 < -0.7658338 and DrugA_gene65 < -3.1705928 and DrugA_gene316 < -0.45383528 and DrugA_gene612 < -1.0332587 and DrugB_gene40 < 0.16379794 and DrugB_gene316 >= 1.5350485 and DrugB_gene317 >= -0.075387 and DrugB_gene416 < -0.17673764 and DrugB_gene505 >= -0.43287456 and DrugB_gene612 >= 1.1589833 and DrugB_gene849 >= 0.7762116 and DrugB_gene869 < -0.089862235 and then value = 1.9446363442999999,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene33 < 0.4057866 and DrugA_gene354 < -0.57956874 and DrugA_gene416 >= 0.13382792 and DrugA_gene612 >= 0.27958238 and DrugA_gene848 >= 0.51024973 and DrugB_gene33 >= -0.25430748 and DrugB_gene40 >= 0.22598012 and DrugB_gene317 >= -0.075387 and DrugB_gene354 < 0.27627206 and DrugB_gene416 < -0.17673764 and DrugB_gene869 < -0.089862235 and then value = 4.645480139000001,None
9,None,None
10,if DrugA_gene39 < 0.1617336 and DrugA_gene40 >= 0.1803324 and DrugA_gene65 >= 0.50749016 and DrugA_gene316 < -0.7889628 and DrugA_gene317 < -1.416357 and DrugA_gene354 >= 0.9537761 and DrugA_gene612 < -1.0332587 and DrugA_gene848 >= 0.43268543 and DrugA_gene950 >= 2.3546786 and DrugB_gene33 >= 0.124310344 and DrugB_gene39 < -0.1414953 and DrugB_gene40 >= 0.18684517 and DrugB_gene65 >= 0.23555896 and DrugB_gene316 >= 1.5350485 and DrugB_gene317 < -0.16238815 and DrugB_gene354 < -0.56978154 and DrugB_gene612 >= 0.44280598 and DrugB_gene849 >= 0.7762116 and DrugB_gene869 >= 0.17095977 and then value = 19.7591023543,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene39 < -1.2206569 and DrugA_gene40 >= 0.18665129 and DrugA_gene416 >= 0.08507528 and DrugA_gene848 >= -0.11243269 and DrugA_gene849 >= -0.42040753 and DrugB_gene33 >= -0.016915899 and DrugB_gene317 < -0.5869213 and DrugB_gene354 < -0.19914144 and DrugB_gene416 >= 0.5423036 and DrugB_gene505 < 0.25243515 and DrugB_gene848 < 0.12908807 and DrugB_gene849 < -0.74884295 and then value = 20.494917299999997,None
