,0,1
0,None,None
1,None,None
2,if DrugA_gene33 < -1.1803282 and DrugA_gene279 >= -0.2150723 and DrugA_gene330 >= 0.50138164 and DrugA_gene447 >= 0.33193427 and DrugA_gene554 >= 0.75797904 and DrugA_gene777 < -0.22636047 and DrugA_gene839 < -0.27525502 and DrugB_gene148 < -0.94575 and DrugB_gene179 >= 0.39145026 and DrugB_gene241 < -3.2092235 and DrugB_gene279 >= -0.48278403 and DrugB_gene372 < 0.0056203157 and DrugB_gene713 >= -0.1699801 and then value = 5.50554108,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene9 < 0.04385753 and DrugA_gene31 >= 0.35217074 and DrugA_gene33 < 0.17606877 and DrugA_gene132 < -0.0535302 and DrugA_gene151 < -1.424825 and DrugA_gene168 < -0.22320238 and DrugA_gene179 >= 3.2003922 and DrugA_gene282 < 0.11358449 and DrugA_gene445 < -0.4102874 and DrugA_gene447 >= 0.37653017 and DrugA_gene777 < 0.37730423 and DrugA_gene839 < 0.27580643 and DrugB_gene74 >= 1.9758003 and DrugB_gene179 < 0.053140357 and DrugB_gene223 < 1.7147665 and DrugB_gene241 >= -0.7906349 and DrugB_gene279 >= 1.2856058 and DrugB_gene309 < 0.25877932 and DrugB_gene463 < -0.7667161 and DrugB_gene777 < -0.1298432 and DrugB_gene839 >= -2.2284772 and GO:0001894 >= 25.039528 and compress_LAYER_level_boost_feature_0 < 3.1308017 and compress_LAYER_level_boost_feature_1 >= 30.881851 and then value = 4.9184248770000005,None
9,None,None
10,if DrugA_gene9 < 0.1591563 and DrugA_gene33 >= 1.1969112 and DrugA_gene74 < 0.3983232 and DrugA_gene132 >= 4.9771423 and DrugA_gene134 < -0.1883514 and DrugA_gene148 >= 0.36293697 and DrugA_gene151 < -0.11296458 and DrugA_gene168 < -0.006779454 and DrugA_gene237 >= 0.5905347 and DrugA_gene241 >= 0.6040815 and DrugA_gene277 >= -0.16327071 and DrugA_gene279 < -1.8247344 and DrugA_gene282 < 0.11358449 and DrugA_gene329 >= 0.21752879 and DrugA_gene349 >= 4.729761 and DrugA_gene363 < -0.63242435 and DrugA_gene445 < -0.4950068 and DrugA_gene554 >= 0.09409608 and DrugA_gene695 < -0.13331729 and DrugA_gene713 < -0.9977471 and DrugA_gene777 < -0.42220056 and DrugA_gene839 < 0.27580643 and DrugB_gene9 < 0.35884833 and DrugB_gene31 >= 0.1306372 and DrugB_gene74 >= 1.9758003 and DrugB_gene134 >= 0.026707992 and DrugB_gene151 >= 0.37386942 and DrugB_gene168 >= 0.19709736 and DrugB_gene223 >= 0.22177872 and DrugB_gene241 < 0.32882145 and DrugB_gene279 >= 1.2856058 and DrugB_gene282 >= -0.0024924646 and DrugB_gene309 >= 0.25877932 and DrugB_gene349 < 0.06953555 and DrugB_gene363 >= -0.17049961 and DrugB_gene372 >= 0.062983945 and DrugB_gene415 < -0.07163445 and DrugB_gene417 < -0.7365139 and DrugB_gene445 < -0.19734114 and DrugB_gene777 < -0.1298432 and DrugB_gene839 >= 0.49728858 and GO:0001894 < -0.5029443 and then value = 8.721062696999997,None
11,None,None
12,None,None
13,None,None
