,0,1
0,None,None
1,None,None
2,if DrugA_gene2 < -0.29602548 and DrugA_gene33 < 0.22400557 and DrugA_gene149 < 0.13649012 and DrugA_gene151 < -0.15432374 and DrugA_gene234 < -0.26623952 and DrugA_gene354 < -0.029934801 and DrugA_gene451 >= 0.29362416 and DrugB_gene2 >= 3.849934 and DrugB_gene43 < -0.104862474 and DrugB_gene149 < 0.12735057 and DrugB_gene354 >= 0.27918547 and DrugB_gene670 >= 0.47402257 and then value = 14.517960500000001,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene2 >= 3.849934 and DrugA_gene31 < -2.6192007 and DrugA_gene43 < 0.09753389 and DrugA_gene149 < 0.20842382 and DrugA_gene354 >= 1.4174387 and DrugB_gene2 >= 3.849934 and DrugB_gene31 >= 0.41492867 and DrugB_gene33 >= 0.6192391 and DrugB_gene354 >= 0.9537761 and then value = 5.387627337,None
9,None,None
10,if DrugA_gene31 >= -0.0360333 and DrugA_gene33 < -1.710144 and DrugA_gene43 < 0.17788303 and DrugA_gene149 >= 0.5722235 and DrugA_gene151 < 0.08134791 and DrugA_gene234 < -0.81307197 and DrugA_gene354 >= 0.845647 and DrugA_gene451 >= 2.392808 and DrugA_gene670 >= 0.37266782 and DrugB_gene31 < -0.039641954 and DrugB_gene33 < -2.276288 and DrugB_gene43 < -0.7693904 and DrugB_gene234 < -0.07995053 and DrugB_gene354 < -1.6162288 and DrugB_gene451 < -0.026825864 and DrugB_gene670 < -0.4507211 and then value = 25.038728001899997,None
11,None,None
12,None,None
13,None,None
14,if DrugA_gene2 < 0.20072772 and DrugA_gene31 >= 1.9752419 and DrugA_gene43 < 0.2606607 and DrugA_gene149 < 0.35330275 and DrugA_gene151 < 0.08134791 and DrugA_gene234 < -0.80446196 and DrugA_gene354 >= 0.9173386 and DrugB_gene31 >= 0.65059173 and DrugB_gene33 >= 0.28299558 and DrugB_gene149 >= 0.36277187 and DrugB_gene234 < -0.07995053 and DrugB_gene354 >= 1.3928087 and DrugB_gene670 >= 3.641622 and then value = 42.51899148750001,None
15,if DrugA_gene2 < -0.7866707 and DrugA_gene31 < -2.6192007 and DrugA_gene151 >= 0.42083493 and DrugA_gene451 >= 0.3005544 and DrugB_gene2 >= 3.849934 and DrugB_gene33 < -0.28416908 and DrugB_gene43 < 0.14787951 and DrugB_gene354 < -0.36823848 and DrugB_gene670 >= 3.641622 and then value = 35.6015000839,None
16,None,None
17,None,None
18,None,None
19,None,None
20,None,None
21,None,None
22,None,None
23,None,None
24,None,None
25,if DrugA_gene2 < -1.4623501 and DrugA_gene31 >= -0.039724134 and DrugA_gene33 < -1.1589653 and DrugA_gene151 < -0.29075858 and DrugA_gene234 < -0.09912426 and DrugA_gene354 >= 1.4174387 and DrugA_gene670 >= 0.3465581 and DrugB_gene43 < 0.019703727 and DrugB_gene149 < 0.0064896448 and DrugB_gene354 < 0.090713374 and then value = 54.684873718,None
26,None,None
