,0,1
0,None,None
1,None,None
2,if DrugA_gene40 >= 0.021867359 and DrugA_gene90 < -0.18316302 and DrugA_gene95 < -0.055060714 and DrugA_gene97 < 0.198082 and DrugA_gene99 < -0.041643925 and DrugA_gene100 < -0.8163765 and DrugA_gene126 < 0.028926544 and DrugA_gene130 >= 0.7663044 and DrugA_gene138 >= 0.8748572 and DrugA_gene180 >= 0.26335266 and DrugA_gene228 < -0.8131287 and DrugA_gene286 >= 0.25886837 and DrugA_gene310 < -0.116717465 and DrugA_gene351 >= 0.60638463 and DrugA_gene368 >= 1.739965 and DrugA_gene372 < -0.5933253 and DrugA_gene513 < 0.07281251 and DrugA_gene537 >= -0.53180236 and DrugA_gene634 >= 0.5288614 and DrugA_gene825 < -4.1137743 and DrugA_gene835 < -1.88845 and DrugB_gene40 >= 0.85636127 and DrugB_gene95 >= 0.24237977 and DrugB_gene97 >= 0.6387584 and DrugB_gene99 >= 0.50249416 and DrugB_gene100 < -0.1132604 and DrugB_gene130 < -0.051666044 and DrugB_gene138 >= 0.580627 and DrugB_gene176 >= -0.18615964 and DrugB_gene180 < -0.7336891 and DrugB_gene228 >= -0.25145847 and DrugB_gene286 < -1.1134903 and DrugB_gene310 < -0.43827558 and DrugB_gene327 >= 1.5639844 and DrugB_gene363 >= -0.54290664 and DrugB_gene368 < -0.80124235 and DrugB_gene372 < 0.0056203157 and DrugB_gene513 < -0.071263075 and DrugB_gene537 >= 0.16966198 and DrugB_gene634 < -1.1773908 and DrugB_gene825 < -0.54799163 and DrugB_gene835 >= 0.7753664 and GO:1905475 >= 4.796715 and GO:0033157 < -15.899263 and GO:1903829 < -1.4535997 and GO:1900180 < 4.0944977 and compress_node_level_boost_feature_0 < -38.893623 and then value = 6.436855933499999,None
3,None,None
4,if DrugA_gene90 < 0.19968319 and DrugA_gene138 >= -0.06231389 and DrugA_gene368 >= 0.1272325 and DrugA_gene763 < -0.13212927 and DrugA_gene825 < 0.38940963 and DrugB_gene126 >= -0.08120951 and DrugB_gene351 < -0.9574895 and GO:1905475 >= 40.699013 and GO:0033157 >= 117.32649 and GO:1903829 >= 168.28725 and GO:1900180 >= 8.1954365 and compress_node_level_boost_feature_0 >= 88.0242 and compress_LAYER_level_boost_feature_0 >= 101.57301 and then value = 0.90246649861,None
5,None,None
6,None,None
7,None,None
8,if DrugA_gene95 < 0.44991848 and DrugA_gene97 < -0.46023494 and DrugA_gene99 < -0.5830227 and DrugA_gene180 >= 0.4513291 and DrugA_gene228 < -0.34874624 and DrugA_gene310 < -1.247122 and DrugA_gene327 < -0.59488237 and DrugA_gene763 < 0.4969443 and DrugB_gene90 >= -0.9394544 and DrugB_gene97 >= 0.8007766 and DrugB_gene99 < 1.6993791 and DrugB_gene100 < -0.35698324 and DrugB_gene513 < -0.16357455 and DrugB_gene634 < -0.033127397 and GO:1905475 >= 81.24144 and GO:0033157 >= 16.136665 and GO:1903829 >= 53.50045 and GO:1900180 >= 111.1909 and compress_node_level_boost_feature_0 >= 10.242109 and compress_LAYER_level_boost_feature_0 < 1.896649 and then value = 6.2575217489999995,None
9,None,None
