,0,1
0,None,None
1,None,None
2,if DrugA_gene18 >= 0.6782897 and DrugA_gene19 < 0.22081119 and DrugA_gene21 < -0.4271294 and DrugA_gene45 < -0.6973027 and DrugA_gene66 >= 1.2203946 and DrugA_gene167 >= 0.6292772 and DrugA_gene292 < -0.6416686 and DrugA_gene336 < -0.8134749 and DrugA_gene338 < -0.045455292 and DrugA_gene389 < -0.26454288 and DrugA_gene415 < -1.8690047 and DrugA_gene444 >= 1.2033753 and DrugA_gene531 >= 0.037976623 and DrugA_gene573 < -1.7613883 and DrugA_gene603 < -0.11307435 and DrugA_gene679 >= 0.53151006 and DrugA_gene859 < -0.30396107 and DrugB_gene11 >= 1.7611847 and DrugB_gene18 >= 1.7043899 and DrugB_gene19 >= 1.2621751 and DrugB_gene21 >= 0.8584493 and DrugB_gene45 < -1.5100718 and DrugB_gene50 < -0.66479534 and DrugB_gene167 < -0.6687784 and DrugB_gene179 >= 3.7769773 and DrugB_gene336 >= 0.6363648 and DrugB_gene349 >= 3.3326085 and DrugB_gene389 >= 1.4788544 and DrugB_gene408 < -0.24195027 and DrugB_gene415 >= 0.13084292 and DrugB_gene444 >= -0.021341687 and DrugB_gene526 >= 1.3846666 and DrugB_gene531 < 0.4391548 and DrugB_gene557 >= 0.39053512 and DrugB_gene573 < -0.47844154 and DrugB_gene679 < 0.4930387 and DrugB_gene859 < -0.40516233 and then value = 10.321661992399996,None
3,None,None
4,if DrugA_gene11 >= 1.8565055 and DrugA_gene21 < -0.4271294 and DrugA_gene66 >= 0.27167055 and DrugA_gene389 < -2.6613479 and DrugA_gene444 < -0.70154005 and DrugA_gene526 < -0.5033045 and DrugA_gene531 >= 0.50739 and DrugA_gene603 < -1.8805385 and DrugA_gene859 < 0.07453196 and DrugB_gene11 < -0.3761508 and DrugB_gene18 >= 1.4923915 and DrugB_gene292 < -0.8161131 and DrugB_gene336 >= 0.550724 and DrugB_gene408 < -0.10923864 and DrugB_gene444 >= -0.021341687 and DrugB_gene526 >= 1.4488976 and DrugB_gene573 >= 0.12976676 and then value = 1.4248769030500001,None
5,None,None
6,None,None
7,None,None
8,None,None
9,None,None
